date,weather_risk_score,event_risk_score
2024-05-29,4.3,1.7
2024-05-30,3.8,1.4
2024-05-31,3.9,1.6
2024-06-01,4.4,1.2
2024-06-02,5.8,1.4
2024-06-03,5.1,1.4
2024-06-04,3.5,1.5
2024-06-05,5.9,1.3
2024-06-06,3.2,1.0
2024-06-07,3.0,2.3
2024-06-08,3.8,1.1
2024-06-09,3.2,1.6
2024-06-10,5.1,1.0
2024-06-11,3.8,0.9
2024-06-12,4.0,1.5
2024-06-13,5.2,1.6
2024-06-14,4.3,1.9
2024-06-15,6.0,1.6
2024-06-16,5.6,1.5
2024-06-17,4.4,1.2
2024-06-18,4.7,1.9
2024-06-19,3.9,1.8
2024-06-20,4.6,1.1
2024-06-21,3.5,1.5
2024-06-22,3.7,1.5
2024-06-23,4.1,1.4
2024-06-24,4.3,1.7
2024-06-25,4.1,1.7
2024-06-26,3.9,1.4
2024-06-27,4.6,1.4
2024-06-28,4.9,1.9
2024-06-29,4.3,1.8
2024-06-30,5.2,1.5
2024-07-01,3.8,1.0
2024-07-02,6.4,1.6
2024-07-03,3.4,1.7
2024-07-04,4.4,0.7
2024-07-05,7.6,1.6
2024-07-06,5.3,1.4
2024-07-07,4.3,1.4
2024-07-08,4.4,1.2
2024-07-09,6.3,1.5
2024-07-10,5.6,1.9
2024-07-11,4.9,1.4
2024-07-12,4.8,1.8
2024-07-13,4.3,1.3
2024-07-14,6.5,1.7
2024-07-15,5.4,1.5
2024-07-16,5.4,1.6
2024-07-17,4.4,1.5
2024-07-18,5.6,1.7
2024-07-19,7.4,0.7
2024-07-20,6.4,1.1
2024-07-21,6.0,1.6
2024-07-22,5.2,0.9
2024-07-23,6.0,1.3
2024-07-24,6.9,1.5
2024-07-25,6.8,1.3
2024-07-26,5.5,1.3
2024-07-27,7.6,1.6
2024-07-28,6.9,1.8
2024-07-29,5.1,1.2
2024-07-30,7.2,1.3
2024-07-31,6.6,1.3
2024-08-01,7.3,0.8
2024-08-02,7.2,1.5
2024-08-03,7.0,1.8
2024-08-04,8.2,1.8
2024-08-05,7.0,1.2
2024-08-06,6.8,1.1
2024-08-07,6.7,1.5
2024-08-08,7.8,1.7
2024-08-09,9.0,1.5
2024-08-10,6.8,1.6
2024-08-11,6.3,1.8
2024-08-12,7.1,1.3
2024-08-13,7.8,1.4
2024-08-14,6.1,2.0
2024-08-15,8.0,1.4
2024-08-16,7.5,1.1
2024-08-17,7.5,1.3
2024-08-18,7.3,1.2
2024-08-19,7.3,1.6
2024-08-20,7.1,1.2
2024-08-21,8.5,1.6
2024-08-22,7.6,1.3
2024-08-23,7.8,0.9
2024-08-24,7.3,1.6
2024-08-25,8.0,1.5
2024-08-26,6.9,1.7
2024-08-27,8.2,1.3
2024-08-28,7.0,1.3
2024-08-29,8.3,1.6
2024-08-30,8.2,2.0
2024-08-31,8.2,1.5
2024-09-01,8.8,1.6
2024-09-02,8.1,1.4
2024-09-03,8.9,1.0
2024-09-04,7.8,1.8
2024-09-05,7.8,1.8
2024-09-06,7.8,1.7
2024-09-07,8.9,1.4
2024-09-08,8.2,1.7
2024-09-09,8.0,1.8
2024-09-10,8.7,2.0
2024-09-11,8.0,1.8
2024-09-12,8.9,1.5
2024-09-13,8.6,1.1
2024-09-14,8.2,1.5
2024-09-15,8.1,1.6
2024-09-16,8.0,1.7
2024-09-17,9.2,1.9
2024-09-18,9.5,1.5
2024-09-19,8.4,2.1
2024-09-20,9.5,1.0
2024-09-21,8.9,1.6
2024-09-22,9.8,1.3
2024-09-23,9.0,0.9
2024-09-24,8.3,1.4
2024-09-25,9.3,1.1
2024-09-26,8.7,1.5
2024-09-27,8.4,1.5
2024-09-28,7.2,1.8
2024-09-29,8.6,1.0
2024-09-30,9.5,1.8
2024-10-01,9.9,1.5
2024-10-02,8.5,1.8
2024-10-03,8.1,1.4
2024-10-04,9.6,1.1
2024-10-05,8.5,1.1
2024-10-06,10.0,1.1
2024-10-07,8.1,1.6
2024-10-08,8.4,1.9
2024-10-09,9.2,1.3
2024-10-10,8.9,1.7
2024-10-11,7.3,1.0
2024-10-12,9.1,1.6
2024-10-13,8.5,1.7
2024-10-14,8.4,1.1
2024-10-15,10.0,1.4
2024-10-16,9.6,1.7
2024-10-17,8.9,0.6
2024-10-18,7.7,1.9
2024-10-19,7.4,1.6
2024-10-20,7.2,1.7
2024-10-21,8.5,1.4
2024-10-22,7.9,1.0
2024-10-23,8.8,1.7
2024-10-24,9.5,1.5
2024-10-25,7.1,1.5
2024-10-26,7.7,1.8
2024-10-27,7.7,1.7
2024-10-28,8.4,2.1
2024-10-29,8.5,1.5
2024-10-30,8.3,1.3
2024-10-31,7.3,1.4
2024-11-01,8.7,8.1
2024-11-02,6.8,8.3
2024-11-03,9.5,7.6
2024-11-04,8.0,8.0
2024-11-05,8.6,8.5
2024-11-06,6.2,7.9
2024-11-07,9.7,8.3
2024-11-08,8.6,8.1
2024-11-09,7.2,8.3
2024-11-10,6.4,7.8
2024-11-11,7.4,1.3
2024-11-12,8.4,1.5
2024-11-13,6.2,1.0
2024-11-14,6.6,1.4
2024-11-15,7.3,1.6
2024-11-16,7.8,2.0
2024-11-17,7.8,1.6
2024-11-18,7.3,1.7
2024-11-19,7.0,1.8
2024-11-20,7.9,1.2
2024-11-21,7.2,1.5
2024-11-22,8.0,2.2
2024-11-23,7.1,1.5
2024-11-24,6.2,1.8
2024-11-25,6.3,1.8
2024-11-26,7.1,1.1
2024-11-27,6.1,1.6
2024-11-28,6.6,1.5
2024-11-29,7.0,1.6
2024-11-30,6.6,1.3
2024-12-01,7.7,1.2
2024-12-02,5.8,1.4
2024-12-03,5.5,1.5
2024-12-04,6.0,1.9
2024-12-05,7.4,2.0
2024-12-06,5.3,1.9
2024-12-07,6.2,1.8
2024-12-08,6.0,1.2
2024-12-09,6.3,1.4
2024-12-10,5.4,1.6
2024-12-11,5.9,1.3
2024-12-12,5.1,1.7
2024-12-13,4.5,1.7
2024-12-14,5.3,1.7
2024-12-15,5.6,1.8
2024-12-16,5.1,1.2
2024-12-17,5.2,1.8
2024-12-18,4.8,1.3
2024-12-19,5.6,1.2
2024-12-20,5.6,1.7
2024-12-21,5.4,1.9
2024-12-22,4.9,1.6
2024-12-23,4.3,1.5
2024-12-24,4.5,1.6
2024-12-25,6.2,1.5
2024-12-26,5.0,1.2
2024-12-27,3.4,1.1
2024-12-28,4.3,1.5
2024-12-29,4.2,1.5
2024-12-30,3.8,1.5
2024-12-31,3.6,1.7
2025-01-01,5.4,1.4
2025-01-02,4.0,1.7
2025-01-03,3.9,1.5
2025-01-04,3.8,2.0
2025-01-05,5.2,1.5
2025-01-06,4.0,2.2
2025-01-07,5.2,1.6
2025-01-08,4.3,1.4
2025-01-09,3.2,1.2
2025-01-10,5.7,1.1
2025-01-11,2.3,1.2
2025-01-12,4.3,1.2
2025-01-13,5.0,1.6
2025-01-14,3.5,1.3
2025-01-15,4.8,1.6
2025-01-16,5.3,1.9
2025-01-17,2.8,1.5
2025-01-18,3.9,2.1
2025-01-19,3.9,1.1
2025-01-20,4.0,1.5
2025-01-21,4.2,1.3
2025-01-22,2.7,1.8
2025-01-23,5.2,0.8
2025-01-24,4.3,1.1
2025-01-25,6.1,1.5
2025-01-26,5.1,2.0
2025-01-27,3.0,1.6
2025-01-28,3.3,1.1
2025-01-29,3.4,1.1
2025-01-30,6.2,2.0
2025-01-31,4.4,1.3
2025-02-01,4.4,1.2
2025-02-02,4.3,1.9
2025-02-03,4.4,1.8
2025-02-04,4.1,1.9
2025-02-05,4.5,1.2
2025-02-06,4.2,1.0
2025-02-07,4.1,1.5
2025-02-08,4.1,1.6
2025-02-09,5.9,1.6
2025-02-10,5.5,1.9
2025-02-11,3.6,1.0
2025-02-12,3.5,1.8
2025-02-13,4.9,1.2
2025-02-14,4.1,1.8
2025-02-15,5.1,1.4
2025-02-16,3.7,1.3
2025-02-17,4.3,1.3
2025-02-18,5.2,1.1
2025-02-19,4.1,1.5
2025-02-20,4.1,1.3
2025-02-21,4.8,1.7
2025-02-22,4.2,1.7
2025-02-23,5.4,2.0
2025-02-24,4.4,1.6
2025-02-25,3.8,1.7
2025-02-26,4.7,1.9
2025-02-27,3.5,1.3
2025-02-28,4.7,1.1
2025-03-01,4.2,1.6
2025-03-02,5.6,1.1
2025-03-03,6.1,2.2
2025-03-04,4.1,1.9
2025-03-05,4.3,2.1
2025-03-06,4.2,1.5
2025-03-07,4.9,1.7
2025-03-08,5.0,1.4
2025-03-09,4.0,1.8
2025-03-10,4.6,1.1
2025-03-11,4.4,0.7
2025-03-12,4.8,1.3
2025-03-13,4.3,1.1
2025-03-14,3.8,1.9
2025-03-15,5.1,2.0
2025-03-16,4.7,1.1
2025-03-17,4.7,1.9
2025-03-18,5.9,1.8
2025-03-19,4.1,1.0
2025-03-20,4.8,1.4
2025-03-21,3.7,1.3
2025-03-22,4.0,1.7
2025-03-23,4.1,1.1
2025-03-24,3.9,1.5
2025-03-25,5.6,1.3
2025-03-26,3.8,1.6
2025-03-27,4.9,1.4
2025-03-28,3.1,1.3
2025-03-29,6.4,1.4
2025-03-30,4.8,2.1
2025-03-31,3.9,1.4
2025-04-01,2.8,1.2
2025-04-02,4.0,1.7
2025-04-03,5.1,1.5
2025-04-04,4.5,1.1
2025-04-05,6.9,2.2
2025-04-06,5.1,1.4
2025-04-07,3.9,1.4
2025-04-08,3.8,1.5
2025-04-09,4.8,2.0
2025-04-10,4.6,1.0
2025-04-11,4.3,1.6
2025-04-12,4.5,2.1
2025-04-13,4.3,1.5
2025-04-14,4.4,1.1
2025-04-15,3.9,1.3
2025-04-16,5.0,1.6
2025-04-17,2.6,1.9
2025-04-18,5.2,1.4
2025-04-19,4.2,1.7
2025-04-20,4.4,1.1
2025-04-21,4.5,1.1
2025-04-22,4.5,1.4
2025-04-23,4.0,1.9
2025-04-24,4.4,1.5
2025-04-25,4.1,1.6
2025-04-26,4.0,1.6
2025-04-27,4.4,1.8
2025-04-28,4.7,1.3
2025-04-29,5.3,1.7
2025-04-30,4.0,1.3
2025-05-01,4.3,2.1
2025-05-02,5.4,1.3
2025-05-03,5.0,1.2
2025-05-04,4.7,1.7
2025-05-05,4.6,1.5
2025-05-06,3.7,1.6
2025-05-07,4.7,1.6
2025-05-08,7.8,1.2
2025-05-09,3.8,2.0
2025-05-10,5.1,1.8
2025-05-11,3.8,1.9
2025-05-12,3.2,1.3
2025-05-13,4.8,1.6
2025-05-14,4.0,1.6
2025-05-15,4.2,1.8
2025-05-16,3.5,1.8
2025-05-17,3.6,1.6
2025-05-18,4.2,1.0
2025-05-19,4.2,2.0
2025-05-20,4.4,1.7
2025-05-21,4.5,1.3
2025-05-22,5.7,1.6
2025-05-23,5.3,1.0
2025-05-24,4.9,1.8
2025-05-25,3.7,1.1
2025-05-26,4.2,1.4
2025-05-27,5.9,1.6
2025-05-28,3.9,1.8
2025-05-29,5.6,1.5
2025-05-30,4.4,1.7
2025-05-31,4.7,1.5
2025-06-01,4.4,1.5
2025-06-02,4.9,1.5
2025-06-03,4.8,1.4
2025-06-04,4.5,1.0
2025-06-05,3.7,1.3
2025-06-06,4.9,1.6
2025-06-07,3.5,1.4
2025-06-08,4.6,1.5
2025-06-09,4.8,1.4
2025-06-10,3.7,1.2
2025-06-11,4.4,1.4
2025-06-12,3.7,1.4
2025-06-13,5.4,1.5
2025-06-14,4.7,1.6
2025-06-15,3.7,1.4
2025-06-16,3.6,1.2
2025-06-17,3.3,1.1
2025-06-18,5.5,2.3
2025-06-19,5.1,1.2
2025-06-20,5.7,1.3
2025-06-21,3.8,1.7
2025-06-22,6.3,1.6
2025-06-23,3.5,1.7
2025-06-24,5.0,1.4
2025-06-25,3.5,1.6
2025-06-26,5.0,1.5
2025-06-27,4.9,1.4
2025-06-28,5.2,1.6
2025-06-29,5.4,1.8
2025-06-30,3.5,1.5
2025-07-01,3.9,1.5
2025-07-02,5.5,1.8
2025-07-03,4.0,1.8
2025-07-04,5.2,2.0
2025-07-05,3.3,1.0
2025-07-06,4.5,1.8
2025-07-07,4.2,1.7
2025-07-08,3.1,1.2
2025-07-09,3.9,1.6
2025-07-10,5.4,1.8
2025-07-11,6.2,1.3
2025-07-12,8.2,1.6
2025-07-13,6.5,1.8
2025-07-14,5.4,1.2
2025-07-15,6.7,1.5
2025-07-16,5.6,1.6
2025-07-17,3.7,1.3
2025-07-18,6.0,1.2
2025-07-19,6.2,1.5
2025-07-20,6.6,1.7
2025-07-21,6.4,1.7
2025-07-22,5.1,1.2
2025-07-23,6.3,1.7
2025-07-24,7.2,1.2
2025-07-25,6.4,1.0
2025-07-26,6.7,1.4
2025-07-27,6.4,1.8
2025-07-28,7.5,1.7
2025-07-29,6.4,8.5
2025-07-30,7.3,8.4
2025-07-31,7.4,8.4
2025-08-01,6.7,8.5
2025-08-02,5.8,8.2
2025-08-03,6.4,8.4
2025-08-04,7.1,8.4
2025-08-05,6.2,8.1
2025-08-06,7.1,8.2
2025-08-07,7.1,8.6
2025-08-08,6.7,1.5
2025-08-09,8.8,1.4
2025-08-10,6.5,1.2
2025-08-11,8.4,2.0
2025-08-12,7.7,1.2
2025-08-13,6.8,1.6
2025-08-14,7.8,1.4
2025-08-15,7.3,1.5
2025-08-16,7.1,1.6
2025-08-17,7.1,1.1
2025-08-18,7.1,1.5
2025-08-19,7.3,1.9
2025-08-20,7.5,2.0
2025-08-21,9.0,1.5
2025-08-22,6.8,1.5
2025-08-23,8.9,2.2
2025-08-24,7.3,1.8
2025-08-25,7.4,1.3
2025-08-26,8.7,1.3
2025-08-27,7.5,1.8
2025-08-28,8.0,1.2
2025-08-29,7.6,1.8
2025-08-30,8.4,1.6
2025-08-31,8.4,1.7
2025-09-01,8.5,1.4
2025-09-02,7.7,1.3
2025-09-03,8.3,1.9
2025-09-04,7.1,1.4
2025-09-05,7.3,1.4
2025-09-06,9.5,1.5
2025-09-07,7.2,1.6
2025-09-08,6.8,1.2
2025-09-09,9.1,1.3
2025-09-10,7.9,1.3
2025-09-11,8.3,1.8
2025-09-12,7.8,1.2
2025-09-13,8.1,1.0
2025-09-14,8.4,0.9
2025-09-15,8.8,1.1
2025-09-16,7.2,1.9
2025-09-17,9.3,1.5
2025-09-18,8.6,1.7
2025-09-19,9.7,1.7
2025-09-20,9.7,1.5
2025-09-21,8.8,1.5
2025-09-22,7.4,1.8
2025-09-23,8.4,1.5
2025-09-24,8.9,1.9
2025-09-25,8.1,1.7
2025-09-26,7.7,1.3
2025-09-27,9.1,1.4
2025-09-28,8.9,1.3
2025-09-29,7.8,1.9
2025-09-30,8.2,1.4
2025-10-01,8.5,1.3
2025-10-02,10.0,1.6
2025-10-03,7.7,1.5
2025-10-04,9.4,1.6
2025-10-05,8.7,2.1
2025-10-06,8.1,1.8
2025-10-07,8.6,1.5
2025-10-08,8.9,1.1
2025-10-09,7.6,1.4
2025-10-10,9.6,1.7
2025-10-11,7.2,1.1
2025-10-12,9.0,2.1
2025-10-13,7.8,1.5
2025-10-14,10.0,1.5
2025-10-15,7.7,1.3
2025-10-16,8.2,1.6
2025-10-17,8.9,1.2
2025-10-18,8.0,2.1
2025-10-19,7.6,1.9
2025-10-20,7.8,1.8
2025-10-21,8.8,1.1
2025-10-22,8.5,1.6
2025-10-23,9.5,1.9
2025-10-24,9.1,1.7
2025-10-25,7.4,1.2
2025-10-26,8.2,1.3
2025-10-27,7.5,1.4
2025-10-28,7.4,1.3
2025-10-29,10.0,2.0
2025-10-30,8.3,0.9
2025-10-31,8.0,1.7
2025-11-01,7.1,1.1
2025-11-02,8.3,1.2
2025-11-03,8.6,0.9
2025-11-04,9.0,1.3
2025-11-05,10.0,2.0
2025-11-06,7.1,1.6
2025-11-07,6.5,1.1
2025-11-08,7.8,1.8
2025-11-09,7.7,1.9
2025-11-10,7.5,1.5
2025-11-11,7.1,2.1
2025-11-12,10.0,1.7
2025-11-13,8.4,1.7
2025-11-14,8.2,1.3
2025-11-15,8.0,1.7
2025-11-16,7.7,1.6
2025-11-17,6.7,1.7
2025-11-18,5.9,1.3
2025-11-19,7.4,1.5
2025-11-20,8.8,1.3
2025-11-21,6.8,0.9
2025-11-22,6.5,1.8
2025-11-23,7.3,1.0
2025-11-24,7.1,1.5
2025-11-25,5.6,1.6
2025-11-26,6.8,1.6
2025-11-27,6.6,1.4
2025-11-28,7.0,1.6
2025-11-29,7.0,1.6
2025-11-30,5.4,1.7
2025-12-01,7.9,2.0
2025-12-02,6.4,1.6
2025-12-03,5.7,1.5
2025-12-04,6.4,1.2
2025-12-05,6.0,1.6
2025-12-06,5.4,1.7
2025-12-07,5.2,1.4
2025-12-08,6.5,1.7
2025-12-09,5.3,1.4
2025-12-10,6.1,1.7
2025-12-11,6.5,1.8
2025-12-12,5.7,1.8
2025-12-13,5.9,1.5
2025-12-14,6.0,1.2
2025-12-15,5.6,1.3
2025-12-16,6.5,1.7
2025-12-17,6.4,2.2
2025-12-18,4.1,1.4
2025-12-19,5.1,1.6
2025-12-20,4.8,1.3
2025-12-21,8.0,1.2
2025-12-22,4.3,1.3
2025-12-23,4.6,0.9
2025-12-24,3.7,1.9
2025-12-25,4.9,0.8
2025-12-26,6.3,1.4
2025-12-27,5.2,1.1
2025-12-28,4.7,1.2
2025-12-29,3.2,1.9
2025-12-30,4.2,1.6
2025-12-31,5.4,1.2
2026-01-01,4.2,1.3
2026-01-02,6.5,1.3
2026-01-03,3.9,1.5
2026-01-04,3.6,1.6
2026-01-05,5.3,2.1
2026-01-06,3.7,0.9
2026-01-07,3.8,1.5
2026-01-08,4.6,1.4
2026-01-09,5.3,1.8
2026-01-10,3.1,1.6
2026-01-11,5.7,1.7
2026-01-12,4.6,1.6
2026-01-13,3.7,1.2
2026-01-14,4.8,1.9
2026-01-15,4.0,1.7
2026-01-16,5.1,1.8
2026-01-17,5.6,1.9
2026-01-18,6.7,1.6
2026-01-19,3.8,1.9
2026-01-20,3.7,1.6
2026-01-21,4.4,1.4
2026-01-22,4.2,1.5
2026-01-23,3.9,1.5
2026-01-24,3.3,1.3
2026-01-25,4.7,2.0
2026-01-26,4.1,1.6
2026-01-27,4.5,1.5
2026-01-28,5.4,1.6
2026-01-29,5.6,2.4
2026-01-30,3.6,1.2
2026-01-31,4.5,1.2
2026-02-01,4.2,1.1
2026-02-02,3.5,1.4
2026-02-03,3.9,1.6
2026-02-04,5.4,1.4
2026-02-05,3.8,1.3
2026-02-06,5.0,1.5
2026-02-07,4.3,1.3
2026-02-08,3.9,1.6
2026-02-09,4.7,1.8
2026-02-10,7.6,1.7
2026-02-11,3.6,1.8
2026-02-12,5.2,1.8
2026-02-13,4.3,1.6
2026-02-14,5.7,1.5
2026-02-15,3.9,1.3
2026-02-16,5.0,1.4
2026-02-17,5.6,1.3
2026-02-18,4.7,1.7
2026-02-19,3.9,1.6
2026-02-20,4.6,1.7
2026-02-21,4.8,1.2
2026-02-22,3.8,1.9
2026-02-23,3.8,1.4
2026-02-24,4.6,1.2
2026-02-25,3.6,1.4
2026-02-26,4.1,2.2
2026-02-27,3.9,1.4
2026-02-28,5.0,1.4
2026-03-01,5.4,1.4
2026-03-02,4.9,1.5
2026-03-03,4.3,1.3
2026-03-04,4.8,1.5
2026-03-05,5.3,1.8
2026-03-06,3.4,1.6
2026-03-07,4.4,1.2
2026-03-08,5.8,1.4
2026-03-09,4.2,1.3
2026-03-10,4.9,1.5
2026-03-11,4.5,1.9
2026-03-12,4.5,1.5
2026-03-13,3.3,1.5
2026-03-14,5.1,2.0
2026-03-15,3.3,1.8
2026-03-16,4.0,9.2
2026-03-17,4.9,9.6
2026-03-18,4.6,9.1
2026-03-19,4.8,8.4
2026-03-20,4.7,9.2
2026-03-21,3.6,8.5
2026-03-22,4.6,9.1
2026-03-23,4.4,8.5
2026-03-24,4.4,8.9
2026-03-25,3.5,8.9
2026-03-26,4.5,1.3
2026-03-27,4.8,1.4
2026-03-28,4.2,1.8
2026-03-29,4.0,1.3
2026-03-30,4.6,1.7
2026-03-31,5.7,1.2
2026-04-01,4.4,1.4
2026-04-02,4.5,1.6
2026-04-03,4.8,1.2
2026-04-04,5.3,1.1
2026-04-05,5.0,1.6
2026-04-06,4.0,1.8
2026-04-07,3.8,1.5
2026-04-08,4.9,1.4
2026-04-09,5.8,1.5
2026-04-10,3.7,1.5
2026-04-11,4.8,1.6
2026-04-12,4.0,0.7
2026-04-13,4.7,1.2
2026-04-14,5.1,1.2
2026-04-15,5.0,1.5
2026-04-16,4.7,1.6
2026-04-17,4.6,1.7
2026-04-18,6.3,1.6
2026-04-19,6.4,1.1
2026-04-20,3.3,1.9
2026-04-21,4.1,1.9
2026-04-22,4.7,1.1
2026-04-23,5.8,1.6
2026-04-24,4.2,1.3
2026-04-25,7.9,1.5
2026-04-26,5.1,1.8
2026-04-27,4.8,2.1
2026-04-28,3.6,1.7
2026-04-29,3.5,1.6
2026-04-30,5.1,1.4
2026-05-01,3.7,1.6
2026-05-02,6.0,1.9
2026-05-03,4.9,1.5
2026-05-04,5.0,1.2
2026-05-05,3.6,1.0
2026-05-06,4.2,1.7
2026-05-07,5.5,1.6
2026-05-08,3.9,1.3
2026-05-09,4.7,1.8
2026-05-10,4.3,1.4
2026-05-11,4.6,1.5
2026-05-12,4.0,1.5
2026-05-13,4.8,1.4
2026-05-14,4.5,1.6
2026-05-15,4.9,1.8
2026-05-16,3.8,1.2
2026-05-17,3.9,1.6
2026-05-18,4.3,1.6
2026-05-19,6.6,1.5
2026-05-20,4.7,1.8
2026-05-21,3.4,1.5
2026-05-22,4.9,1.6
2026-05-23,4.2,1.7
2026-05-24,5.1,1.3
2026-05-25,3.9,1.6
2026-05-26,3.1,1.4
2026-05-27,4.1,1.5
2026-05-28,6.3,1.4
2026-05-29,4.4,1.6
2026-05-30,4.1,1.5
2026-05-31,4.6,1.6
2026-06-01,4.8,1.5
2026-06-02,4.5,1.0
2026-06-03,4.4,1.5
2026-06-04,5.5,1.5
2026-06-05,5.0,1.6
2026-06-06,3.8,1.3
2026-06-07,5.6,1.1
2026-06-08,4.3,1.7
2026-06-09,5.3,1.4
2026-06-10,3.8,1.6
2026-06-11,3.0,1.4
2026-06-12,4.5,1.5
2026-06-13,3.6,1.4
2026-06-14,3.4,1.2
2026-06-15,3.5,1.6
2026-06-16,4.8,1.3
2026-06-17,4.5,1.5
2026-06-18,4.7,1.6
2026-06-19,4.4,1.3
2026-06-20,4.3,1.1
2026-06-21,4.3,2.2
2026-06-22,3.9,1.3
2026-06-23,5.1,1.7
2026-06-24,4.2,2.1
2026-06-25,5.4,1.7
2026-06-26,5.1,1.4
2026-06-27,3.6,1.5
2026-06-28,5.5,1.3
2026-06-29,4.2,1.8
2026-06-30,4.5,1.7
2026-07-01,3.1,1.3
2026-07-02,4.1,1.2
2026-07-03,4.4,1.1
2026-07-04,6.2,1.8
2026-07-05,5.2,1.5
2026-07-06,5.8,1.6
2026-07-07,5.8,1.3
2026-07-08,4.6,1.1
2026-07-09,5.6,1.8
2026-07-10,6.5,1.5
2026-07-11,5.0,1.8
2026-07-12,5.5,1.4
2026-07-13,6.4,1.4
2026-07-14,5.8,1.7
2026-07-15,6.2,1.7
2026-07-16,5.8,1.7
2026-07-17,6.9,1.4
2026-07-18,7.1,1.7
2026-07-19,5.5,1.8
