date,port_congestion_score,avg_waiting_hours
2024-04-25,41.3,29.0
2024-04-26,42.9,28.5
2024-04-27,38.7,20.2
2024-04-28,37.7,23.5
2024-04-29,38.1,27.2
2024-04-30,39.1,23.8
2024-05-01,42.0,26.8
2024-05-02,49.1,29.8
2024-05-03,45.5,33.2
2024-05-04,47.8,34.5
2024-05-05,41.3,25.1
2024-05-06,42.1,27.7
2024-05-07,42.2,26.1
2024-05-08,40.7,27.7
2024-05-09,40.1,27.1
2024-05-10,45.3,31.1
2024-05-11,67.4,44.4
2024-05-12,41.5,32.9
2024-05-13,41.0,24.6
2024-05-14,50.0,29.1
2024-05-15,42.9,27.1
2024-05-16,52.0,30.7
2024-05-17,49.0,28.8
2024-05-18,59.4,36.6
2024-05-19,45.3,27.6
2024-05-20,48.9,29.9
2024-05-21,46.4,31.2
2024-05-22,48.9,30.8
2024-05-23,46.8,30.0
2024-05-24,44.7,30.8
2024-05-25,48.0,29.6
2024-05-26,48.5,31.0
2024-05-27,54.2,36.0
2024-05-28,52.5,30.2
2024-05-29,51.3,28.6
2024-05-30,45.7,30.4
2024-05-31,52.9,35.4
2024-06-01,49.7,36.4
2024-06-02,59.2,38.8
2024-06-03,61.2,41.4
2024-06-04,46.6,29.9
2024-06-05,56.9,37.6
2024-06-06,47.0,33.9
2024-06-07,49.8,28.1
2024-06-08,52.0,34.6
2024-06-09,48.5,35.8
2024-06-10,56.1,37.0
2024-06-11,48.1,34.6
2024-06-12,49.4,30.9
2024-06-13,53.8,34.9
2024-06-14,56.3,36.7
2024-06-15,64.0,37.2
2024-06-16,56.7,34.5
2024-06-17,56.3,34.4
2024-06-18,52.8,36.0
2024-06-19,50.1,34.3
2024-06-20,51.1,33.8
2024-06-21,55.1,37.5
2024-06-22,57.5,37.1
2024-06-23,54.3,37.7
2024-06-24,59.1,38.4
2024-06-25,55.9,36.5
2024-06-26,52.2,33.4
2024-06-27,53.2,36.0
2024-06-28,63.2,40.2
2024-06-29,60.1,41.0
2024-06-30,66.1,40.7
2024-07-01,53.6,32.6
2024-07-02,80.8,53.9
2024-07-03,54.7,35.4
2024-07-04,53.6,33.9
2024-07-05,89.5,59.9
2024-07-06,55.9,35.1
2024-07-07,60.7,39.1
2024-07-08,55.5,38.9
2024-07-09,59.7,41.9
2024-07-10,68.8,47.9
2024-07-11,57.2,36.6
2024-07-12,61.8,42.6
2024-07-13,56.5,34.9
2024-07-14,61.4,38.1
2024-07-15,58.1,33.1
2024-07-16,57.3,40.6
2024-07-17,58.3,36.2
2024-07-18,57.4,37.0
2024-07-19,70.3,43.9
2024-07-20,59.6,40.1
2024-07-21,58.4,37.2
2024-07-22,60.4,36.7
2024-07-23,59.3,39.5
2024-07-24,65.4,39.6
2024-07-25,78.6,49.4
2024-07-26,60.9,35.4
2024-07-27,69.4,42.3
2024-07-28,62.7,41.1
2024-07-29,58.9,34.4
2024-07-30,65.0,39.3
2024-07-31,62.5,40.6
2024-08-01,64.6,40.9
2024-08-02,71.6,50.5
2024-08-03,62.0,44.0
2024-08-04,72.5,45.4
2024-08-05,67.0,44.7
2024-08-06,62.8,42.3
2024-08-07,64.5,40.7
2024-08-08,61.4,36.9
2024-08-09,83.8,54.4
2024-08-10,65.8,42.4
2024-08-11,59.5,37.8
2024-08-12,61.7,41.0
2024-08-13,65.3,40.9
2024-08-14,59.8,36.6
2024-08-15,59.7,39.0
2024-08-16,63.2,41.8
2024-08-17,62.1,38.0
2024-08-18,63.2,42.9
2024-08-19,61.6,36.5
2024-08-20,60.9,38.4
2024-08-21,66.9,42.9
2024-08-22,64.2,40.5
2024-08-23,61.3,38.7
2024-08-24,62.2,44.2
2024-08-25,65.3,40.8
2024-08-26,60.4,44.2
2024-08-27,60.9,40.5
2024-08-28,60.5,39.5
2024-08-29,70.0,46.5
2024-08-30,68.4,49.5
2024-08-31,68.4,42.5
2024-09-01,67.5,41.7
2024-09-02,66.6,41.8
2024-09-03,63.8,41.6
2024-09-04,66.1,39.5
2024-09-05,60.1,39.1
2024-09-06,65.7,46.1
2024-09-07,68.9,45.1
2024-09-08,64.0,41.0
2024-09-09,62.4,39.3
2024-09-10,61.6,41.9
2024-09-11,65.8,41.1
2024-09-12,66.7,47.0
2024-09-13,71.8,50.5
2024-09-14,62.0,40.8
2024-09-15,68.2,44.3
2024-09-16,64.3,43.8
2024-09-17,72.1,49.1
2024-09-18,63.7,39.8
2024-09-19,63.4,40.2
2024-09-20,64.1,39.0
2024-09-21,67.2,44.5
2024-09-22,78.8,52.6
2024-09-23,59.1,35.7
2024-09-24,58.9,37.4
2024-09-25,75.1,46.1
2024-09-26,62.9,39.1
2024-09-27,63.9,42.7
2024-09-28,62.0,38.9
2024-09-29,58.5,37.5
2024-09-30,66.6,40.0
2024-10-01,65.9,43.2
2024-10-02,59.8,38.8
2024-10-03,59.6,37.3
2024-10-04,68.2,43.9
2024-10-05,57.6,37.8
2024-10-06,69.7,43.7
2024-10-07,58.6,35.1
2024-10-08,62.0,43.9
2024-10-09,73.0,46.2
2024-10-10,63.1,40.8
2024-10-11,59.3,40.6
2024-10-12,63.0,48.0
2024-10-13,58.3,35.4
2024-10-14,57.5,38.3
2024-10-15,89.7,56.9
2024-10-16,63.6,40.2
2024-10-17,61.2,38.4
2024-10-18,57.5,35.1
2024-10-19,55.0,35.6
2024-10-20,54.6,32.6
2024-10-21,59.1,40.3
2024-10-22,62.7,40.8
2024-10-23,58.5,38.8
2024-10-24,64.7,41.1
2024-10-25,53.6,34.1
2024-10-26,55.9,36.9
2024-10-27,54.6,33.2
2024-10-28,56.3,35.9
2024-10-29,53.0,32.7
2024-10-30,70.8,44.2
2024-10-31,53.6,30.6
2024-11-01,67.2,46.4
2024-11-02,55.0,34.4
2024-11-03,76.8,52.3
2024-11-04,56.0,38.5
2024-11-05,67.0,41.0
2024-11-06,50.7,30.8
2024-11-07,58.7,43.3
2024-11-08,64.2,45.2
2024-11-09,50.9,33.0
2024-11-10,50.3,33.2
2024-11-11,52.8,33.1
2024-11-12,65.5,43.4
2024-11-13,53.7,33.5
2024-11-14,53.2,30.5
2024-11-15,49.4,29.5
2024-11-16,48.2,31.4
2024-11-17,57.9,35.4
2024-11-18,48.3,31.2
2024-11-19,53.5,32.6
2024-11-20,62.0,38.7
2024-11-21,48.4,33.1
2024-11-22,53.3,35.1
2024-11-23,46.9,30.5
2024-11-24,51.7,35.4
2024-11-25,47.0,31.5
2024-11-26,53.7,37.8
2024-11-27,47.6,30.0
2024-11-28,48.9,30.9
2024-11-29,50.4,30.2
2024-11-30,45.8,28.9
2024-12-01,52.5,36.1
2024-12-02,46.3,32.7
2024-12-03,50.4,34.7
2024-12-04,44.6,25.4
2024-12-05,50.3,34.9
2024-12-06,43.9,24.9
2024-12-07,46.2,31.8
2024-12-08,44.3,28.1
2024-12-09,50.6,34.3
2024-12-10,43.9,25.9
2024-12-11,54.6,37.9
2024-12-12,54.9,32.8
2024-12-13,42.6,26.4
2024-12-14,46.8,28.4
2024-12-15,41.4,23.4
2024-12-16,43.6,28.5
2024-12-17,47.8,34.7
2024-12-18,46.6,35.6
2024-12-19,45.7,29.9
2024-12-20,41.6,29.3
2024-12-21,42.2,27.9
2024-12-22,39.8,26.9
2024-12-23,46.5,29.5
2024-12-24,42.9,28.3
2024-12-25,45.8,30.9
2024-12-26,39.9,24.8
2024-12-27,40.3,26.1
2024-12-28,40.2,26.0
2024-12-29,37.7,26.1
2024-12-30,39.8,23.7
2024-12-31,46.8,30.3
2025-01-01,50.5,36.7
2025-01-02,41.0,29.0
2025-01-03,40.1,28.7
2025-01-04,36.4,23.7
2025-01-05,48.7,32.3
2025-01-06,35.9,25.3
2025-01-07,53.0,37.6
2025-01-08,39.4,21.7
2025-01-09,37.7,21.9
2025-01-10,50.5,35.4
2025-01-11,35.0,22.2
2025-01-12,39.9,24.6
2025-01-13,39.2,23.0
2025-01-14,35.7,22.1
2025-01-15,37.4,21.5
2025-01-16,40.2,30.3
2025-01-17,41.5,26.9
2025-01-18,33.6,21.7
2025-01-19,50.0,33.7
2025-01-20,34.3,24.2
2025-01-21,34.7,24.4
2025-01-22,34.8,24.7
2025-01-23,33.0,20.2
2025-01-24,33.4,21.1
2025-01-25,58.2,39.4
2025-01-26,34.6,21.4
2025-01-27,32.9,21.4
2025-01-28,32.8,22.1
2025-01-29,39.6,27.3
2025-01-30,43.4,24.6
2025-01-31,33.5,23.2
2025-02-01,31.7,20.1
2025-02-02,33.0,22.9
2025-02-03,31.7,22.2
2025-02-04,31.9,24.0
2025-02-05,34.5,25.2
2025-02-06,32.6,23.9
2025-02-07,35.3,25.8
2025-02-08,32.6,21.8
2025-02-09,47.7,31.1
2025-02-10,44.9,30.9
2025-02-11,35.7,24.6
2025-02-12,33.2,21.0
2025-02-13,33.4,22.5
2025-02-14,33.6,21.8
2025-02-15,38.2,23.1
2025-02-16,33.9,24.6
2025-02-17,41.9,27.4
2025-02-18,47.5,35.0
2025-02-19,32.6,18.0
2025-02-20,35.1,21.7
2025-02-21,30.7,20.0
2025-02-22,31.4,22.7
2025-02-23,33.3,22.4
2025-02-24,31.4,21.0
2025-02-25,42.6,25.4
2025-02-26,31.0,17.9
2025-02-27,33.7,22.5
2025-02-28,35.6,20.4
2025-03-01,37.1,23.0
2025-03-02,32.9,22.4
2025-03-03,42.2,25.5
2025-03-04,35.1,26.0
2025-03-05,33.5,24.2
2025-03-06,30.5,16.7
2025-03-07,33.9,20.1
2025-03-08,40.5,21.7
2025-03-09,35.9,21.8
2025-03-10,40.9,28.1
2025-03-11,34.4,21.5
2025-03-12,31.1,21.1
2025-03-13,30.5,16.8
2025-03-14,32.6,22.8
2025-03-15,37.7,23.4
2025-03-16,39.9,26.0
2025-03-17,32.7,21.1
2025-03-18,34.8,20.1
2025-03-19,34.1,19.8
2025-03-20,34.1,24.1
2025-03-21,32.6,22.0
2025-03-22,31.9,22.9
2025-03-23,32.5,21.8
2025-03-24,31.6,20.8
2025-03-25,32.7,17.8
2025-03-26,31.5,20.0
2025-03-27,37.5,24.3
2025-03-28,34.0,26.0
2025-03-29,53.5,36.2
2025-03-30,33.3,24.7
2025-03-31,34.6,23.7
2025-04-01,34.9,21.3
2025-04-02,32.4,21.3
2025-04-03,43.5,28.7
2025-04-04,32.8,19.5
2025-04-05,49.7,31.5
2025-04-06,46.3,29.7
2025-04-07,37.7,27.7
2025-04-08,38.0,20.5
2025-04-09,39.8,28.3
2025-04-10,36.5,21.9
2025-04-11,40.0,23.3
2025-04-12,34.2,24.6
2025-04-13,34.4,23.8
2025-04-14,38.0,27.2
2025-04-15,39.3,27.1
2025-04-16,47.8,35.2
2025-04-17,35.5,24.2
2025-04-18,45.4,29.2
2025-04-19,36.6,24.5
2025-04-20,38.4,27.5
2025-04-21,37.9,23.1
2025-04-22,38.9,24.0
2025-04-23,37.0,23.4
2025-04-24,40.4,22.1
2025-04-25,46.2,30.3
2025-04-26,40.2,22.3
2025-04-27,40.9,26.7
2025-04-28,48.4,33.2
2025-04-29,44.7,28.1
2025-04-30,41.6,30.4
2025-05-01,39.6,22.8
2025-05-02,51.0,35.5
2025-05-03,43.4,29.6
2025-05-04,40.0,22.5
2025-05-05,40.6,31.8
2025-05-06,48.7,31.5
2025-05-07,39.4,23.9
2025-05-08,68.4,41.7
2025-05-09,40.5,25.9
2025-05-10,49.4,31.9
2025-05-11,43.1,28.2
2025-05-12,44.4,28.3
2025-05-13,53.4,36.0
2025-05-14,44.1,27.9
2025-05-15,45.7,25.9
2025-05-16,41.7,26.8
2025-05-17,41.6,22.3
2025-05-18,43.5,29.0
2025-05-19,49.0,29.9
2025-05-20,43.1,28.4
2025-05-21,43.3,30.8
2025-05-22,46.1,28.0
2025-05-23,49.4,34.2
2025-05-24,50.9,32.2
2025-05-25,44.8,32.6
2025-05-26,44.4,28.1
2025-05-27,61.1,38.0
2025-05-28,46.2,31.4
2025-05-29,56.2,35.7
2025-05-30,56.9,35.3
2025-05-31,54.1,34.2
2025-06-01,46.6,30.2
2025-06-02,56.1,39.1
2025-06-03,54.8,31.7
2025-06-04,51.7,33.6
2025-06-05,48.9,33.1
2025-06-06,48.6,32.0
2025-06-07,47.8,33.7
2025-06-08,51.5,33.3
2025-06-09,52.8,33.9
2025-06-10,50.4,34.0
2025-06-11,51.9,33.9
2025-06-12,51.0,32.4
2025-06-13,54.7,36.6
2025-06-14,62.7,39.4
2025-06-15,50.1,31.3
2025-06-16,52.1,32.8
2025-06-17,50.4,35.5
2025-06-18,55.6,29.7
2025-06-19,57.8,38.4
2025-06-20,66.4,43.2
2025-06-21,52.4,30.7
2025-06-22,68.7,45.3
2025-06-23,51.4,34.3
2025-06-24,56.7,38.1
2025-06-25,51.8,28.4
2025-06-26,65.1,45.1
2025-06-27,56.4,35.2
2025-06-28,58.8,39.6
2025-06-29,63.0,42.5
2025-06-30,53.5,33.1
2025-07-01,53.0,35.8
2025-07-02,65.7,41.9
2025-07-03,55.5,31.9
2025-07-04,54.3,37.6
2025-07-05,57.4,35.8
2025-07-06,59.3,36.9
2025-07-07,54.3,34.5
2025-07-08,56.2,37.1
2025-07-09,54.7,35.4
2025-07-10,57.9,38.8
2025-07-11,68.4,41.8
2025-07-12,79.4,50.1
2025-07-13,61.3,39.6
2025-07-14,56.5,40.5
2025-07-15,69.8,45.1
2025-07-16,60.2,41.3
2025-07-17,57.0,37.1
2025-07-18,71.4,45.5
2025-07-19,64.8,41.6
2025-07-20,64.4,41.5
2025-07-21,64.1,42.9
2025-07-22,58.2,40.6
2025-07-23,58.4,38.7
2025-07-24,64.1,44.1
2025-07-25,58.8,36.3
2025-07-26,60.9,38.7
2025-07-27,66.7,41.9
2025-07-28,66.9,44.1
2025-07-29,61.5,39.2
2025-07-30,67.4,45.3
2025-07-31,69.0,43.0
2025-08-01,64.6,42.1
2025-08-02,59.9,40.3
2025-08-03,60.4,35.1
2025-08-04,60.8,43.8
2025-08-05,59.4,38.1
2025-08-06,60.7,35.4
2025-08-07,60.3,39.5
2025-08-08,62.6,40.8
2025-08-09,73.4,47.6
2025-08-10,59.8,40.9
2025-08-11,66.9,45.0
2025-08-12,66.3,43.7
2025-08-13,60.0,39.9
2025-08-14,74.8,48.4
2025-08-15,64.6,45.5
2025-08-16,62.3,37.5
2025-08-17,68.1,44.6
2025-08-18,61.5,40.1
2025-08-19,66.8,45.1
2025-08-20,60.0,37.3
2025-08-21,70.8,42.5
2025-08-22,63.4,41.5
2025-08-23,66.0,43.4
2025-08-24,61.4,42.9
2025-08-25,66.7,40.8
2025-08-26,68.8,47.1
2025-08-27,63.8,46.2
2025-08-28,65.8,42.0
2025-08-29,63.7,38.8
2025-08-30,73.5,46.9
2025-08-31,64.1,41.7
2025-09-01,71.1,47.3
2025-09-02,69.7,44.1
2025-09-03,63.1,44.1
2025-09-04,61.5,37.7
2025-09-05,63.0,37.5
2025-09-06,70.4,48.0
2025-09-07,61.4,35.4
2025-09-08,64.3,41.4
2025-09-09,69.6,51.5
2025-09-10,62.3,40.5
2025-09-11,65.8,40.5
2025-09-12,61.3,39.7
2025-09-13,60.2,39.1
2025-09-14,69.0,45.1
2025-09-15,60.0,40.3
2025-09-16,61.2,37.7
2025-09-17,70.8,49.4
2025-09-18,61.7,40.6
2025-09-19,80.8,54.0
2025-09-20,82.4,52.3
2025-09-21,60.8,42.1
2025-09-22,59.0,37.9
2025-09-23,66.0,43.5
2025-09-24,62.2,38.6
2025-09-25,59.1,36.4
2025-09-26,65.7,44.1
2025-09-27,58.4,37.1
2025-09-28,70.4,44.0
2025-09-29,58.9,37.0
2025-09-30,58.7,39.5
2025-10-01,58.9,37.0
2025-10-02,76.9,49.8
2025-10-03,64.5,42.0
2025-10-04,67.0,39.7
2025-10-05,60.2,36.2
2025-10-06,59.5,39.3
2025-10-07,58.4,36.5
2025-10-08,60.6,41.5
2025-10-09,61.3,41.8
2025-10-10,62.3,42.0
2025-10-11,58.0,41.3
2025-10-12,73.8,47.8
2025-10-13,56.9,38.3
2025-10-14,75.9,48.1
2025-10-15,55.6,41.0
2025-10-16,59.2,42.5
2025-10-17,57.5,37.4
2025-10-18,58.5,38.8
2025-10-19,59.8,41.6
2025-10-20,57.9,37.4
2025-10-21,57.5,36.1
2025-10-22,62.0,42.1
2025-10-23,60.8,39.7
2025-10-24,64.4,42.2
2025-10-25,55.2,34.2
2025-10-26,58.9,34.8
2025-10-27,58.3,38.4
2025-10-28,55.6,37.9
2025-10-29,56.6,36.3
2025-10-30,54.6,38.4
2025-10-31,53.1,33.1
2025-11-01,53.4,32.6
2025-11-02,52.4,33.9
2025-11-03,58.4,37.8
2025-11-04,57.7,39.1
2025-11-05,69.0,43.3
2025-11-06,58.6,40.8
2025-11-07,50.8,37.0
2025-11-08,63.2,41.0
2025-11-09,61.9,42.8
2025-11-10,53.3,32.5
2025-11-11,54.8,37.8
2025-11-12,71.7,48.7
2025-11-13,53.6,36.6
2025-11-14,62.9,40.9
2025-11-15,49.1,26.0
2025-11-16,49.6,30.9
2025-11-17,51.5,32.2
2025-11-18,53.1,32.5
2025-11-19,57.7,37.7
2025-11-20,74.0,47.2
2025-11-21,50.0,30.8
2025-11-22,47.1,28.5
2025-11-23,56.2,35.1
2025-11-24,51.8,35.9
2025-11-25,47.3,29.4
2025-11-26,49.8,31.4
2025-11-27,53.6,33.9
2025-11-28,54.1,35.8
2025-11-29,49.1,32.8
2025-11-30,46.9,24.4
2025-12-01,66.3,45.1
2025-12-02,50.7,35.8
2025-12-03,47.1,28.5
2025-12-04,45.7,27.7
2025-12-05,51.3,32.4
2025-12-06,44.8,27.6
2025-12-07,44.0,29.1
2025-12-08,47.2,26.8
2025-12-09,44.5,26.7
2025-12-10,48.1,34.3
2025-12-11,42.6,25.9
2025-12-12,48.0,33.7
2025-12-13,43.4,28.9
2025-12-14,41.1,23.1
2025-12-15,41.7,28.4
2025-12-16,56.9,36.8
2025-12-17,52.5,33.2
2025-12-18,41.7,27.6
2025-12-19,49.0,32.8
2025-12-20,45.3,30.9
2025-12-21,60.7,41.8
2025-12-22,42.0,28.1
2025-12-23,45.8,27.0
2025-12-24,39.1,24.5
2025-12-25,41.5,32.9
2025-12-26,58.2,39.3
2025-12-27,42.7,32.5
2025-12-28,39.8,28.7
2025-12-29,38.3,25.4
2025-12-30,44.6,29.6
2025-12-31,43.3,28.1
2026-01-01,39.7,22.3
2026-01-02,54.8,35.6
2026-01-03,36.6,26.2
2026-01-04,38.4,23.8
2026-01-05,51.3,34.2
2026-01-06,38.2,26.5
2026-01-07,37.4,22.5
2026-01-08,40.0,25.1
2026-01-09,45.7,27.6
2026-01-10,35.7,21.6
2026-01-11,52.1,31.3
2026-01-12,44.2,26.9
2026-01-13,35.7,26.0
2026-01-14,41.8,25.3
2026-01-15,37.0,24.3
2026-01-16,37.0,23.1
2026-01-17,43.0,30.3
2026-01-18,53.4,37.3
2026-01-19,34.3,24.0
2026-01-20,36.6,24.4
2026-01-21,37.1,23.6
2026-01-22,35.8,20.9
2026-01-23,35.5,27.0
2026-01-24,33.0,19.9
2026-01-25,39.5,27.0
2026-01-26,35.8,25.4
2026-01-27,33.5,20.7
2026-01-28,42.3,29.5
2026-01-29,41.7,28.6
2026-01-30,35.8,26.8
2026-01-31,33.9,21.1
2026-02-01,37.7,21.9
2026-02-02,33.5,20.8
2026-02-03,33.0,21.9
2026-02-04,39.1,25.6
2026-02-05,31.4,19.6
2026-02-06,31.7,16.8
2026-02-07,31.0,21.1
2026-02-08,31.9,24.7
2026-02-09,31.2,21.2
2026-02-10,63.6,42.5
2026-02-11,32.7,22.4
2026-02-12,31.5,21.3
2026-02-13,32.2,22.8
2026-02-14,46.9,31.3
2026-02-15,34.8,22.0
2026-02-16,33.1,19.9
2026-02-17,42.7,27.2
2026-02-18,33.2,22.2
2026-02-19,32.6,20.6
2026-02-20,31.5,21.1
2026-02-21,33.0,22.3
2026-02-22,32.4,22.7
2026-02-23,36.8,26.5
2026-02-24,32.1,21.0
2026-02-25,35.2,20.3
2026-02-26,30.4,19.1
2026-02-27,31.3,20.4
2026-02-28,33.1,17.9
2026-03-01,46.6,33.1
2026-03-02,32.8,21.6
2026-03-03,36.6,24.5
2026-03-04,31.8,23.4
2026-03-05,30.9,18.8
2026-03-06,30.4,20.9
2026-03-07,32.3,20.8
2026-03-08,31.2,19.9
2026-03-09,31.3,18.8
2026-03-10,38.8,28.5
2026-03-11,30.4,19.0
2026-03-12,35.2,24.3
2026-03-13,33.2,17.8
2026-03-14,34.7,24.9
2026-03-15,35.4,25.1
2026-03-16,32.8,21.5
2026-03-17,32.7,20.8
2026-03-18,38.6,25.9
2026-03-19,43.1,32.6
2026-03-20,32.1,17.4
2026-03-21,31.6,22.1
2026-03-22,44.7,27.3
2026-03-23,33.7,21.9
2026-03-24,36.0,22.9
2026-03-25,34.0,21.3
2026-03-26,32.3,20.9
2026-03-27,36.9,21.7
2026-03-28,36.2,25.6
2026-03-29,33.2,18.0
2026-03-30,35.5,24.2
2026-03-31,41.6,26.4
2026-04-01,37.5,22.1
2026-04-02,32.9,21.8
2026-04-03,37.2,21.1
2026-04-04,39.9,26.0
2026-04-05,42.2,24.6
2026-04-06,38.9,26.2
2026-04-07,34.1,20.3
2026-04-08,40.7,25.5
2026-04-09,40.2,26.7
2026-04-10,33.7,20.4
2026-04-11,36.9,23.9
2026-04-12,36.3,20.6
2026-04-13,40.7,27.7
2026-04-14,35.7,26.7
2026-04-15,39.8,31.4
2026-04-16,49.3,32.2
2026-04-17,44.4,30.4
2026-04-18,50.2,29.1
2026-04-19,58.2,40.8
2026-04-20,35.4,24.6
2026-04-21,41.4,26.0
2026-04-22,39.0,27.8
2026-04-23,47.8,30.5
2026-04-24,37.9,23.7
2026-04-25,60.2,40.1
2026-04-26,42.3,25.4
2026-04-27,46.3,32.1
2026-04-28,37.6,22.3
2026-04-29,38.5,22.9
2026-04-30,46.0,28.1
2026-05-01,37.8,26.1
2026-05-02,48.1,30.0
2026-05-03,38.3,22.2
2026-05-04,44.8,27.9
2026-05-05,41.4,26.8
2026-05-06,44.5,26.6
2026-05-07,46.2,27.8
2026-05-08,41.9,31.4
2026-05-09,40.3,24.5
2026-05-10,40.3,25.5
2026-05-11,45.4,28.8
2026-05-12,44.7,28.2
2026-05-13,48.7,32.9
2026-05-14,45.1,31.2
2026-05-15,44.3,28.2
2026-05-16,44.3,26.3
2026-05-17,41.7,29.7
2026-05-18,44.3,28.6
2026-05-19,64.4,45.3
2026-05-20,54.7,31.1
2026-05-21,45.0,29.6
2026-05-22,48.1,35.1
2026-05-23,54.3,34.6
2026-05-24,46.8,30.0
2026-05-25,43.7,29.0
2026-05-26,44.3,27.7
2026-05-27,48.4,30.8
2026-05-28,65.3,41.8
2026-05-29,51.7,32.4
2026-05-30,45.3,31.9
2026-05-31,46.4,31.1
2026-06-01,54.2,35.8
2026-06-02,56.7,38.5
2026-06-03,51.7,33.1
2026-06-04,52.4,32.5
2026-06-05,46.6,29.1
2026-06-06,57.3,37.2
2026-06-07,56.2,34.4
2026-06-08,49.0,30.8
2026-06-09,54.8,34.6
2026-06-10,49.1,36.2
2026-06-11,48.2,25.8
2026-06-12,49.5,31.8
2026-06-13,49.6,35.7
2026-06-14,51.2,33.5
2026-06-15,52.2,35.4
2026-06-16,53.5,35.0
2026-06-17,53.3,33.3
2026-06-18,51.6,29.0
2026-06-19,50.1,33.0
2026-06-20,55.8,34.7
2026-06-21,53.4,33.1
2026-06-22,52.8,33.3
2026-06-23,63.0,44.4
2026-06-24,59.4,43.4
2026-06-25,63.1,41.4
2026-06-26,55.7,35.3
2026-06-27,52.7,31.9
2026-06-28,59.2,39.4
2026-06-29,53.7,38.5
2026-06-30,56.0,35.9
2026-07-01,53.1,29.8
2026-07-02,63.4,42.6
2026-07-03,54.0,37.1
2026-07-04,67.4,40.6
2026-07-05,65.6,43.0
2026-07-06,57.6,38.3
2026-07-07,62.2,40.3
2026-07-08,60.0,37.4
2026-07-09,64.2,43.7
2026-07-10,58.0,36.9
2026-07-11,64.1,38.7
2026-07-12,58.7,34.1
2026-07-13,72.2,49.4
2026-07-14,59.4,39.8
2026-07-15,59.3,38.7
2026-07-16,65.0,41.4
2026-07-17,66.3,42.0
2026-07-18,61.0,37.5
