date,freight_rate,bdi,capesize_index,panamax_index
2024-07-01,23.8,1757.8,2399.4,1648.1
2024-07-02,24.04,1893.2,2557.1,1809.4
2024-07-03,23.96,1835.9,2518.9,1705.3
2024-07-04,24.25,1805.8,2473.4,1732.7
2024-07-05,24.4,1730.1,2314.3,1657.1
2024-07-06,24.3,1914.4,2550.0,1762.6
2024-07-07,23.91,1737.3,2351.5,1615.6
2024-07-08,23.29,1681.3,2362.7,1588.7
2024-07-09,23.2,1780.7,2329.5,1682.6
2024-07-10,23.63,1869.8,2436.1,1740.0
2024-07-11,23.73,1835.4,2487.7,1755.3
2024-07-12,23.23,1765.1,2385.9,1684.4
2024-07-13,23.37,1776.6,2408.8,1681.9
2024-07-14,23.57,1801.6,2446.8,1688.9
2024-07-15,23.22,1771.8,2378.5,1714.7
2024-07-16,23.33,1761.3,2467.1,1722.9
2024-07-17,23.39,1758.2,2277.6,1655.8
2024-07-18,22.95,1718.5,2270.3,1614.2
2024-07-19,23.17,1707.4,2298.8,1636.8
2024-07-20,23.43,1746.1,2258.7,1648.1
2024-07-21,23.86,1721.7,2313.7,1631.4
2024-07-22,24.2,1811.4,2545.1,1743.0
2024-07-23,23.52,1724.5,2329.4,1581.0
2024-07-24,23.11,1689.2,2294.2,1644.3
2024-07-25,23.34,1757.5,2297.1,1671.8
2024-07-26,23.53,1820.1,2420.1,1716.7
2024-07-27,23.68,1812.7,2424.7,1719.4
2024-07-28,25.14,1822.8,2441.7,1730.5
2024-07-29,25.07,1840.4,2561.4,1696.4
2024-07-30,25.22,1929.3,2638.1,1877.7
2024-07-31,25.28,1856.6,2439.7,1765.0
2024-08-01,25.2,1881.0,2554.1,1800.2
2024-08-02,24.74,1877.6,2564.7,1812.3
2024-08-03,24.78,1819.5,2524.8,1697.9
2024-08-04,24.19,1818.4,2549.7,1741.7
2024-08-05,23.9,1739.1,2286.9,1644.2
2024-08-06,23.55,1742.2,2303.3,1680.5
2024-08-07,23.47,1773.4,2318.6,1620.9
2024-08-08,24.3,1758.8,2360.3,1667.8
2024-08-09,23.32,1766.9,2413.3,1660.5
2024-08-10,23.51,1762.5,2438.7,1687.4
2024-08-11,22.75,1728.1,2328.4,1655.8
2024-08-12,22.55,1700.1,2276.0,1593.9
2024-08-13,23.0,1779.6,2411.6,1669.3
2024-08-14,22.97,1727.9,2282.5,1638.2
2024-08-15,22.49,1669.3,2378.9,1558.9
2024-08-16,22.21,1670.9,2159.3,1612.6
2024-08-17,22.54,1712.0,2322.3,1615.3
2024-08-18,22.24,1670.2,2376.2,1499.5
2024-08-19,22.37,1679.4,2267.5,1584.2
2024-08-20,22.41,1652.3,2219.2,1538.5
2024-08-21,22.15,1634.9,2185.7,1504.2
2024-08-22,23.05,1672.9,2247.5,1552.1
2024-08-23,23.21,1810.8,2526.9,1723.5
2024-08-24,22.28,1621.1,2055.8,1579.9
2024-08-25,22.37,1649.8,2319.2,1576.7
2024-08-26,22.1,1628.8,2113.4,1529.1
2024-08-27,22.48,1721.5,2308.0,1649.1
2024-08-28,22.13,1648.3,2199.5,1552.1
2024-08-29,22.11,1708.4,2341.6,1602.1
2024-08-30,22.34,1648.5,2129.6,1531.5
2024-08-31,22.67,1711.7,2338.6,1573.6
2024-09-01,22.13,1626.3,2317.0,1533.3
2024-09-02,22.01,1736.6,2262.6,1654.5
2024-09-03,21.85,1591.3,2159.7,1508.9
2024-09-04,21.64,1635.5,2168.2,1541.3
2024-09-05,22.43,1707.6,2330.8,1593.8
2024-09-06,22.55,1708.0,2307.0,1640.9
2024-09-07,21.99,1641.8,2177.9,1520.2
2024-09-08,22.38,1673.3,2288.3,1612.9
2024-09-09,23.19,1741.2,2458.9,1624.1
2024-09-10,23.45,1752.5,2354.4,1642.3
2024-09-11,22.64,1736.4,2387.3,1605.6
2024-09-12,22.36,1765.8,2306.2,1662.4
2024-09-13,22.83,1690.1,2224.2,1634.8
2024-09-14,22.44,1628.0,2226.1,1562.1
2024-09-15,22.56,1688.6,2368.6,1633.5
2024-09-16,22.8,1813.1,2469.0,1738.1
2024-09-17,22.32,1641.8,2197.6,1526.6
2024-09-18,22.26,1734.9,2342.0,1638.2
2024-09-19,20.93,1637.0,2134.9,1531.7
2024-09-20,20.69,1529.7,2101.3,1493.1
2024-09-21,20.79,1582.4,2189.1,1467.3
2024-09-22,20.48,1601.5,2134.9,1548.2
2024-09-23,21.37,1587.8,2115.3,1535.2
2024-09-24,20.9,1559.6,2121.4,1536.5
2024-09-25,20.9,1544.2,2058.4,1454.7
2024-09-26,21.12,1543.8,2080.1,1488.0
2024-09-27,21.84,1612.1,2302.3,1599.9
2024-09-28,21.3,1548.5,2075.6,1452.5
2024-09-29,21.88,1642.3,2195.6,1514.1
2024-09-30,21.91,1612.5,2138.0,1475.5
2024-10-01,21.36,1611.5,2220.2,1552.3
2024-10-02,21.47,1548.3,2079.3,1414.4
2024-10-03,21.46,1623.1,2152.2,1530.8
2024-10-04,21.14,1618.7,2264.5,1550.9
2024-10-05,21.13,1505.0,2116.9,1435.3
2024-10-06,20.94,1585.6,2104.5,1519.1
2024-10-07,20.98,1622.8,2078.8,1548.4
2024-10-08,21.24,1544.5,2145.6,1505.7
2024-10-09,21.83,1704.0,2259.3,1590.2
2024-10-10,21.2,1606.8,2216.6,1506.1
2024-10-11,22.02,1623.1,2072.9,1518.7
2024-10-12,21.08,1578.7,2184.8,1524.7
2024-10-13,21.0,1597.6,2084.1,1544.8
2024-10-14,21.24,1595.9,2198.3,1529.7
2024-10-15,21.32,1620.3,2188.3,1574.8
2024-10-16,21.02,1540.0,2021.8,1427.7
2024-10-17,20.94,1577.6,2105.3,1548.7
2024-10-18,20.76,1500.8,2067.3,1471.5
2024-10-19,20.58,1538.8,2083.7,1483.9
2024-10-20,20.99,1538.4,2111.9,1515.0
2024-10-21,21.16,1557.3,2220.9,1429.7
2024-10-22,20.88,1615.1,2086.6,1518.6
2024-10-23,21.28,1639.5,2310.4,1535.5
2024-10-24,21.39,1628.3,2204.5,1568.5
2024-10-25,21.68,1582.6,2082.5,1471.9
2024-10-26,21.87,1627.3,2117.1,1568.7
2024-10-27,21.44,1656.7,2225.1,1614.9
2024-10-28,21.19,1595.1,2208.7,1536.2
2024-10-29,21.51,1705.8,2295.1,1629.0
2024-10-30,21.72,1645.0,2311.4,1533.1
2024-10-31,21.66,1632.0,2116.2,1525.0
2024-11-01,21.66,1612.3,2175.9,1569.2
2024-11-02,22.13,1665.4,2173.2,1605.5
2024-11-03,21.79,1628.3,2220.0,1545.7
2024-11-04,21.96,1675.4,2314.9,1579.0
2024-11-05,21.81,1673.9,2234.5,1529.4
2024-11-06,25.18,1856.9,2350.5,1731.9
2024-11-07,25.07,1827.2,2478.6,1793.2
2024-11-08,24.88,1792.4,2446.0,1664.4
2024-11-09,24.71,1873.8,2553.9,1785.8
2024-11-10,24.77,1813.9,2523.0,1753.5
2024-11-11,24.32,1737.7,2281.6,1613.2
2024-11-12,24.2,1830.4,2511.9,1744.5
2024-11-13,23.71,1877.7,2606.4,1811.9
2024-11-14,23.55,1765.7,2277.0,1677.8
2024-11-15,23.23,1776.0,2416.8,1773.3
2024-11-16,23.06,1733.1,2309.4,1596.3
2024-11-17,23.12,1730.4,2331.1,1675.6
2024-11-18,22.62,1733.0,2360.4,1641.1
2024-11-19,23.35,1739.9,2319.6,1676.1
2024-11-20,22.75,1716.7,2277.0,1644.1
2024-11-21,22.15,1674.4,2262.5,1568.7
2024-11-22,22.6,1668.6,2187.3,1592.0
2024-11-23,22.85,1753.1,2301.6,1609.7
2024-11-24,22.99,1717.3,2359.1,1649.5
2024-11-25,23.12,1703.8,2231.3,1627.6
2024-11-26,22.98,1745.1,2395.8,1677.0
2024-11-27,22.52,1652.7,2258.9,1601.8
2024-11-28,22.51,1689.7,2177.6,1616.3
2024-11-29,22.22,1666.0,2208.5,1587.2
2024-11-30,22.63,1741.0,2422.0,1627.5
2024-12-01,22.55,1709.9,2249.5,1603.0
2024-12-02,22.2,1664.3,2219.0,1616.7
2024-12-03,22.12,1691.9,2311.8,1650.4
2024-12-04,22.35,1732.1,2385.4,1638.4
2024-12-05,22.17,1684.7,2259.3,1601.9
2024-12-06,21.91,1643.6,2183.0,1534.3
2024-12-07,22.12,1606.8,2254.6,1561.7
2024-12-08,22.31,1630.9,2306.1,1569.4
2024-12-09,22.18,1651.4,2288.1,1627.1
2024-12-10,22.09,1632.3,2208.8,1524.4
2024-12-11,22.3,1665.0,2199.3,1570.4
2024-12-12,21.81,1638.2,2161.8,1563.3
2024-12-13,21.42,1627.9,2229.0,1565.9
2024-12-14,21.37,1600.2,2185.3,1513.7
2024-12-15,21.54,1635.0,2291.3,1527.0
2024-12-16,21.9,1645.0,2259.8,1589.2
2024-12-17,22.68,1621.7,2099.1,1562.3
2024-12-18,23.1,1694.7,2351.0,1582.5
2024-12-19,23.05,1723.4,2266.6,1677.9
2024-12-20,23.08,1682.8,2248.7,1633.8
2024-12-21,22.72,1728.0,2347.8,1645.6
2024-12-22,22.81,1772.1,2512.1,1685.9
2024-12-23,22.79,1757.9,2559.8,1686.7
2024-12-24,23.02,1718.1,2355.8,1606.3
2024-12-25,22.77,1767.1,2374.6,1679.7
2024-12-26,23.1,1738.1,2378.5,1586.6
2024-12-27,23.79,1770.6,2443.6,1708.4
2024-12-28,23.73,1755.0,2350.0,1620.4
2024-12-29,23.89,1779.4,2509.8,1735.5
2024-12-30,24.14,1795.3,2437.4,1695.6
2024-12-31,23.93,1801.9,2462.4,1705.4
2025-01-01,24.01,1807.4,2479.9,1698.2
2025-01-02,24.0,1800.3,2455.7,1701.7
2025-01-03,24.04,1820.1,2507.5,1771.7
2025-01-04,23.72,1826.7,2429.1,1660.8
2025-01-05,23.78,1821.6,2425.6,1768.8
2025-01-06,24.03,1742.7,2286.7,1665.7
2025-01-07,24.63,1744.9,2382.0,1621.4
2025-01-08,24.95,1908.3,2623.0,1780.7
2025-01-09,25.7,1873.0,2556.0,1829.6
2025-01-10,25.18,1879.8,2638.2,1757.5
2025-01-11,25.41,1858.7,2508.9,1731.1
2025-01-12,25.33,1827.4,2507.1,1770.2
2025-01-13,26.07,1976.8,2603.2,1888.1
2025-01-14,25.51,1943.4,2600.4,1818.1
2025-01-15,25.02,1853.8,2544.3,1767.6
2025-01-16,24.72,1750.1,2413.6,1631.9
2025-01-17,23.85,1767.1,2368.0,1711.8
2025-01-18,23.76,1798.0,2423.0,1740.0
2025-01-19,23.6,1711.1,2218.9,1641.5
2025-01-20,23.84,1795.1,2401.9,1716.2
2025-01-21,24.12,1808.3,2494.6,1770.7
2025-01-22,24.98,1896.6,2594.9,1801.7
2025-01-23,25.35,1905.7,2602.8,1775.0
2025-01-24,25.05,1840.1,2487.2,1761.6
2025-01-25,24.68,1899.2,2564.3,1866.8
2025-01-26,24.93,1863.6,2476.2,1739.9
2025-01-27,24.42,1830.8,2513.5,1728.4
2025-01-28,25.26,1857.2,2532.5,1776.8
2025-01-29,25.72,1911.0,2609.4,1813.9
2025-01-30,25.45,1873.5,2497.6,1750.3
2025-01-31,24.73,1848.2,2365.9,1789.4
2025-02-01,25.36,1970.4,2725.8,1941.4
2025-02-02,25.31,1843.2,2459.6,1756.9
2025-02-03,25.81,1871.3,2474.5,1750.6
2025-02-04,25.11,1942.3,2663.8,1798.8
2025-02-05,24.92,1860.9,2488.7,1775.6
2025-02-06,25.01,1849.0,2559.8,1789.7
2025-02-07,25.11,1924.6,2635.2,1842.6
2025-02-08,25.0,1850.4,2539.1,1757.8
2025-02-09,25.34,1973.2,2581.9,1856.9
2025-02-10,24.95,1898.7,2636.0,1771.0
2025-02-11,25.01,1856.0,2521.3,1788.2
2025-02-12,25.16,1973.4,2641.9,1902.1
2025-02-13,25.46,1885.0,2553.3,1744.4
2025-02-14,25.79,1964.0,2544.8,1913.5
2025-02-15,25.35,1912.9,2607.0,1834.5
2025-02-16,24.81,1912.8,2520.5,1859.1
2025-02-17,25.48,1973.7,2583.4,1834.8
2025-02-18,25.68,1927.5,2510.8,1790.2
2025-02-19,25.43,1876.8,2600.4,1778.5
2025-02-20,26.13,1978.3,2632.9,1894.5
2025-02-21,26.16,1935.1,2704.4,1892.2
2025-02-22,26.62,2076.9,2771.7,1994.3
2025-02-23,26.57,1998.0,2594.8,1890.8
2025-02-24,27.32,2034.7,2679.9,1902.2
2025-02-25,27.85,2096.2,2904.0,2028.3
2025-02-26,27.5,2008.6,2702.3,1879.3
2025-02-27,27.7,2038.3,2718.8,1985.2
2025-02-28,27.73,2128.1,2882.6,2013.2
2025-03-01,28.06,2078.4,2835.9,2022.2
2025-03-02,27.41,2013.9,2785.8,1933.6
2025-03-03,27.52,2085.6,2902.4,1977.2
2025-03-04,27.77,2130.0,2854.0,2007.9
2025-03-05,26.85,2042.9,2678.3,1930.5
2025-03-06,26.31,2013.3,2693.1,1925.4
2025-03-07,25.51,1883.1,2557.9,1791.3
2025-03-08,25.54,1858.9,2451.7,1748.1
2025-03-09,25.97,2007.7,2653.0,1902.3
2025-03-10,26.65,1985.6,2701.2,1888.7
2025-03-11,26.66,1989.1,2682.4,1825.8
2025-03-12,27.29,2099.7,2836.5,2008.4
2025-03-13,26.62,2019.0,2680.2,1888.7
2025-03-14,25.93,1963.2,2636.5,1830.5
2025-03-15,26.01,2037.2,2694.8,1884.7
2025-03-16,26.25,1943.1,2676.5,1792.1
2025-03-17,26.29,2009.0,2774.3,1867.9
2025-03-18,25.52,1916.0,2475.8,1798.9
2025-03-19,25.65,1934.5,2555.8,1896.4
2025-03-20,25.28,1957.2,2552.4,1843.5
2025-03-21,25.76,1952.1,2596.4,1859.8
2025-03-22,26.04,1974.8,2661.0,1888.1
2025-03-23,25.77,1975.4,2579.8,1880.5
2025-03-24,25.7,1913.1,2527.4,1815.1
2025-03-25,25.43,1873.9,2469.5,1744.3
2025-03-26,25.6,1878.4,2548.3,1828.0
2025-03-27,26.16,1883.0,2546.2,1843.1
2025-03-28,25.85,2021.1,2685.1,1869.5
2025-03-29,26.19,1920.0,2602.7,1793.3
2025-03-30,26.06,1945.9,2594.2,1840.2
2025-03-31,25.85,1927.9,2586.4,1802.6
2025-04-01,25.95,1958.5,2744.4,1875.7
2025-04-02,25.66,1957.2,2722.6,1837.5
2025-04-03,25.61,1955.0,2561.3,1922.2
2025-04-04,25.31,1874.7,2580.6,1816.7
2025-04-05,26.32,1967.0,2704.2,1875.0
2025-04-06,26.4,1991.5,2619.6,1922.7
2025-04-07,26.18,1953.7,2686.6,1889.2
2025-04-08,26.36,2041.3,2848.1,1922.3
2025-04-09,26.38,1998.2,2630.3,1873.8
2025-04-10,26.36,2006.1,2653.1,1908.1
2025-04-11,26.67,2026.6,2796.9,1951.1
2025-04-12,26.99,2071.2,2812.3,1971.8
2025-04-13,26.75,2013.3,2751.1,1865.3
2025-04-14,26.52,1937.4,2635.9,1816.4
2025-04-15,26.45,1999.9,2723.3,1897.7
2025-04-16,25.58,1892.5,2475.3,1795.6
2025-04-17,25.15,1865.3,2581.1,1831.3
2025-04-18,25.94,1969.1,2728.4,1829.1
2025-04-19,26.72,2053.7,2758.7,1966.2
2025-04-20,26.63,1997.9,2694.5,1942.6
2025-04-21,26.87,2028.0,2645.9,1994.7
2025-04-22,26.98,2091.4,2854.3,1974.7
2025-04-23,28.17,2122.5,2899.6,2031.1
2025-04-24,28.4,2234.1,3012.2,2139.4
2025-04-25,28.09,2129.6,2942.5,2029.0
2025-04-26,27.5,1992.1,2669.3,1889.5
2025-04-27,26.73,2035.2,2781.4,1946.5
2025-04-28,26.8,2025.6,2673.3,1848.3
2025-04-29,26.48,2037.5,2749.2,1956.0
2025-04-30,25.93,1971.9,2651.5,1877.0
2025-05-01,25.78,1927.7,2615.9,1824.6
2025-05-02,25.47,1861.1,2490.3,1829.4
2025-05-03,26.31,1964.9,2644.7,1846.4
2025-05-04,26.7,1968.5,2707.1,1858.0
2025-05-05,26.67,1977.4,2643.2,1938.2
2025-05-06,27.24,2066.9,2693.9,1938.6
2025-05-07,27.17,2104.2,2945.6,1982.5
2025-05-08,26.72,2019.7,2809.5,1914.3
2025-05-09,27.29,1999.0,2621.1,1924.3
2025-05-10,27.38,2071.3,2837.6,1974.0
2025-05-11,26.82,2059.5,2750.2,1917.8
2025-05-12,26.68,1976.9,2684.6,1862.1
2025-05-13,26.29,1966.2,2672.1,1849.7
2025-05-14,25.75,1931.5,2593.4,1832.6
2025-05-15,26.2,1933.9,2563.7,1850.0
2025-05-16,26.98,2049.7,2725.7,1959.8
2025-05-17,26.32,1969.1,2603.3,1817.4
2025-05-18,26.54,2006.9,2659.5,1938.5
2025-05-19,26.23,1931.7,2603.8,1842.7
2025-05-20,26.03,1934.9,2569.1,1879.6
2025-05-21,25.82,1965.1,2693.9,1880.2
2025-05-22,25.52,1899.2,2653.1,1837.3
2025-05-23,25.63,1991.4,2653.6,1905.8
2025-05-24,25.37,1886.6,2561.3,1832.7
2025-05-25,25.58,1927.6,2632.2,1846.9
2025-05-26,25.63,1959.5,2673.6,1858.6
2025-05-27,25.59,1862.5,2519.0,1837.6
2025-05-28,25.29,1826.0,2509.6,1761.3
2025-05-29,25.15,1825.5,2493.4,1751.4
2025-05-30,25.57,1968.2,2582.9,1831.5
2025-05-31,25.82,1914.2,2636.3,1779.9
2025-06-01,25.43,2009.7,2766.3,1918.0
2025-06-02,25.53,1892.1,2508.6,1801.9
2025-06-03,25.87,1947.5,2631.4,1831.7
2025-06-04,25.18,1950.4,2674.1,1857.1
2025-06-05,25.48,1991.3,2675.7,1939.4
2025-06-06,25.25,1976.0,2732.0,1898.0
2025-06-07,25.54,1963.5,2792.6,1831.1
2025-06-08,25.24,1934.2,2564.0,1834.1
2025-06-09,24.57,1866.6,2437.1,1749.1
2025-06-10,24.07,1836.2,2497.1,1732.8
2025-06-11,24.3,1800.7,2474.3,1698.3
2025-06-12,24.58,1811.1,2431.1,1706.2
2025-06-13,24.35,1826.2,2552.5,1697.2
2025-06-14,24.76,1850.5,2417.9,1754.2
2025-06-15,24.19,1796.2,2466.4,1689.6
2025-06-16,24.34,1853.1,2465.3,1672.5
2025-06-17,24.0,1837.9,2584.3,1807.6
2025-06-18,23.92,1797.9,2546.7,1740.7
2025-06-19,24.14,1869.5,2477.8,1764.7
