date,route_key,origin_port_id,destination_port_id,freight_rate,bdi_context,bunker_context,port_congestion_score,avg_waiting_hours,vessel_availability_count,weather_risk_score,event_risk_score,data_mode
2024-01-23,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.4,1691.6,633.8,50.3,27.7,35,3.0,1.5,SYNTHETIC
2024-01-24,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.0,1657.9,613.1,55.5,30.5,33,3.9,2.7,SYNTHETIC
2024-01-25,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.73,1633.9,630.0,52.0,28.6,31,3.6,1.5,SYNTHETIC
2024-01-26,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.23,1652.9,628.0,50.2,27.6,32,3.3,1.3,SYNTHETIC
2024-01-27,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.38,1651.9,624.5,58.5,32.2,38,4.0,1.7,SYNTHETIC
2024-01-28,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.99,1649.7,623.5,55.1,30.3,29,3.4,2.1,SYNTHETIC
2024-01-29,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.99,1629.8,629.8,51.8,28.5,31,3.9,2.8,SYNTHETIC
2024-01-30,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.69,1615.8,628.3,52.5,28.9,31,3.1,1.6,SYNTHETIC
2024-01-31,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.04,1628.9,618.3,59.5,32.7,39,4.2,2.5,SYNTHETIC
2024-02-01,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.74,1646.5,628.4,57.8,31.8,35,3.5,2.8,SYNTHETIC
2024-02-02,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.02,1653.8,621.5,62.0,34.1,36,3.8,1.5,SYNTHETIC
2024-02-03,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.75,1637.0,617.0,56.5,31.1,35,3.2,1.8,SYNTHETIC
2024-02-04,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.92,1652.9,622.6,52.7,29.0,30,2.5,1.3,SYNTHETIC
2024-02-05,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.94,1614.1,627.2,54.8,30.1,30,4.6,1.7,SYNTHETIC
2024-02-06,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.71,1644.0,628.1,52.5,28.9,33,3.8,1.2,SYNTHETIC
2024-02-07,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.4,1603.2,621.4,49.4,27.1,28,3.1,1.0,SYNTHETIC
2024-02-08,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.29,1614.9,619.3,54.6,30.0,31,2.4,1.7,SYNTHETIC
2024-02-09,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.88,1575.2,618.6,55.4,30.5,40,4.3,2.1,SYNTHETIC
2024-02-10,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.38,1619.7,614.4,54.7,30.1,34,3.8,1.9,SYNTHETIC
2024-02-11,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.93,1598.0,620.0,51.9,28.6,30,4.4,2.4,SYNTHETIC
2024-02-12,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.77,1583.1,621.4,52.1,28.6,29,3.9,1.6,SYNTHETIC
2024-02-13,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.98,1581.1,620.3,56.0,30.8,29,3.9,1.3,SYNTHETIC
2024-02-14,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.92,1564.9,619.0,49.3,27.1,40,3.1,2.2,SYNTHETIC
2024-02-15,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.4,1566.5,614.8,55.9,30.7,30,4.0,1.0,SYNTHETIC
2024-02-16,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.49,1561.5,611.8,55.0,30.3,32,3.8,3.2,SYNTHETIC
2024-02-17,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.87,1556.7,617.6,52.5,28.9,27,3.3,1.8,SYNTHETIC
2024-02-18,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.81,1568.0,612.7,53.7,29.5,37,3.4,2.4,SYNTHETIC
2024-02-19,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.84,1578.3,604.2,52.1,28.7,36,4.9,2.2,SYNTHETIC
2024-02-20,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.43,1574.8,608.4,58.8,32.3,31,4.4,1.9,SYNTHETIC
2024-02-21,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.58,1549.7,604.4,59.4,32.7,31,4.0,2.0,SYNTHETIC
2024-02-22,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.14,1534.4,603.0,51.2,28.2,36,4.0,1.7,SYNTHETIC
2024-02-23,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.28,1541.7,606.8,55.4,30.5,34,3.7,2.5,SYNTHETIC
2024-02-24,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.17,1560.3,605.6,48.5,26.7,32,3.9,3.0,SYNTHETIC
2024-02-25,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.42,1545.7,609.9,56.7,31.2,28,4.1,2.1,SYNTHETIC
2024-02-26,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.41,1545.9,599.9,57.2,31.5,37,4.1,2.3,SYNTHETIC
2024-02-27,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.24,1519.7,609.5,55.2,30.4,34,4.0,1.7,SYNTHETIC
2024-02-28,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.16,1553.4,608.9,48.9,26.9,33,3.9,1.3,SYNTHETIC
2024-02-29,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.46,1567.6,606.8,52.6,28.9,32,4.9,1.0,SYNTHETIC
2024-03-01,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.43,1543.6,612.8,61.0,33.6,33,3.9,1.2,SYNTHETIC
2024-03-02,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.93,1571.0,613.6,51.6,28.4,34,3.0,1.9,SYNTHETIC
2024-03-03,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.83,1514.5,598.1,48.3,26.5,34,4.7,1.7,SYNTHETIC
2024-03-04,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.86,1495.3,599.4,56.8,31.2,29,4.3,1.9,SYNTHETIC
2024-03-05,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.01,1529.1,601.0,55.2,30.4,28,3.6,2.7,SYNTHETIC
2024-03-06,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.23,1556.5,603.0,57.5,31.6,29,4.4,1.0,SYNTHETIC
2024-03-07,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.89,1564.0,611.4,46.8,25.8,28,4.4,1.9,SYNTHETIC
2024-03-08,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.88,1542.7,608.3,58.8,32.3,31,3.7,1.7,SYNTHETIC
2024-03-09,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.39,1569.0,608.6,57.3,31.5,32,3.1,2.1,SYNTHETIC
2024-03-10,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.82,1543.3,598.2,52.9,29.1,29,4.6,2.0,SYNTHETIC
2024-03-11,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.88,1544.5,612.0,70.2,38.6,29,3.6,2.4,SYNTHETIC
2024-03-12,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.43,1577.8,605.9,59.4,32.6,31,5.0,2.0,SYNTHETIC
2024-03-13,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.47,1572.8,612.1,66.7,36.7,32,3.6,1.3,SYNTHETIC
2024-03-14,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.63,1557.1,616.5,55.4,30.5,35,4.2,2.0,SYNTHETIC
2024-03-15,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.93,1570.5,615.9,57.2,31.5,26,2.8,1.8,SYNTHETIC
2024-03-16,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.35,1578.0,604.2,57.8,31.8,26,3.9,1.7,SYNTHETIC
2024-03-17,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.84,1548.0,595.7,57.2,31.5,26,4.7,1.7,SYNTHETIC
2024-03-18,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.21,1558.9,610.8,57.9,31.9,22,3.0,2.4,SYNTHETIC
2024-03-19,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.33,1560.7,619.0,54.5,30.0,33,4.9,1.7,SYNTHETIC
2024-03-20,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.18,1532.5,611.6,56.4,31.0,26,5.2,2.3,SYNTHETIC
2024-03-21,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.9,1517.0,605.8,53.5,29.4,25,4.2,2.0,SYNTHETIC
2024-03-22,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.27,1518.8,603.0,53.4,29.4,27,2.4,1.9,SYNTHETIC
2024-03-23,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.1,1545.6,612.7,47.6,26.2,30,4.0,1.7,SYNTHETIC
2024-03-24,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.2,1556.7,602.5,56.3,30.9,28,4.3,1.5,SYNTHETIC
2024-03-25,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.29,1537.1,607.8,57.2,31.4,29,3.1,1.5,SYNTHETIC
2024-03-26,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.54,1516.8,606.7,48.4,26.6,32,4.6,1.6,SYNTHETIC
2024-03-27,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.92,1544.5,611.5,56.8,31.3,32,5.1,3.1,SYNTHETIC
2024-03-28,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.5,1493.8,620.6,52.4,28.8,28,4.4,1.9,SYNTHETIC
2024-03-29,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.57,1547.1,607.6,59.2,32.6,29,3.3,2.4,SYNTHETIC
2024-03-30,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.43,1509.6,604.2,56.4,31.0,29,3.8,1.0,SYNTHETIC
2024-03-31,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.08,1531.2,606.7,58.4,32.1,22,4.3,1.9,SYNTHETIC
2024-04-01,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.94,1531.3,600.2,52.7,29.0,29,4.6,1.3,SYNTHETIC
2024-04-02,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.98,1520.2,603.9,61.6,33.9,16,3.5,3.1,SYNTHETIC
2024-04-03,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.75,1553.0,604.6,49.7,27.3,26,4.1,2.4,SYNTHETIC
2024-04-04,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.9,1523.9,603.2,53.6,29.5,28,3.9,1.6,SYNTHETIC
2024-04-05,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.5,1518.6,603.3,56.6,31.1,25,4.2,1.5,SYNTHETIC
2024-04-06,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.24,1516.3,599.1,55.4,30.5,23,3.6,2.1,SYNTHETIC
2024-04-07,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,18.0,1527.5,609.4,50.4,27.7,26,4.4,1.9,SYNTHETIC
2024-04-08,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.3,1521.7,603.9,49.4,27.2,26,4.1,1.4,SYNTHETIC
2024-04-09,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.63,1498.8,603.3,51.0,28.0,20,4.4,1.8,SYNTHETIC
2024-04-10,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.27,1516.3,598.6,58.5,32.2,24,5.2,1.6,SYNTHETIC
2024-04-11,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.63,1489.3,600.2,55.7,30.6,30,4.5,2.3,SYNTHETIC
2024-04-12,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.1,1469.6,602.8,50.3,27.7,31,2.9,2.1,SYNTHETIC
2024-04-13,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.57,1477.4,592.6,49.3,27.1,24,4.1,1.0,SYNTHETIC
2024-04-14,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.32,1504.9,593.4,46.2,25.4,29,3.7,2.4,SYNTHETIC
2024-04-15,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.68,1500.5,596.2,47.0,25.9,25,4.7,1.0,SYNTHETIC
2024-04-16,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.09,1505.8,595.3,57.4,31.6,32,3.5,2.4,SYNTHETIC
2024-04-17,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.39,1508.5,598.5,49.1,27.0,24,4.0,2.1,SYNTHETIC
2024-04-18,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.77,1512.7,600.9,52.8,29.1,23,3.4,1.7,SYNTHETIC
2024-04-19,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.34,1548.5,607.6,52.5,28.9,23,4.1,1.6,SYNTHETIC
2024-04-20,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.47,1500.8,600.4,53.7,29.5,26,4.5,2.0,SYNTHETIC
2024-04-21,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.25,1502.0,600.1,46.7,25.7,27,4.8,1.6,SYNTHETIC
2024-04-22,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.91,1512.6,603.7,54.6,30.1,30,4.3,2.1,SYNTHETIC
2024-04-23,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.29,1531.1,604.5,52.4,28.8,26,4.1,2.9,SYNTHETIC
2024-04-24,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.53,1522.2,606.8,51.2,28.2,24,3.9,1.0,SYNTHETIC
2024-04-25,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.46,1527.7,605.2,50.0,27.5,30,4.8,2.1,SYNTHETIC
2024-04-26,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.1,1530.0,607.2,50.3,27.7,32,4.2,2.0,SYNTHETIC
2024-04-27,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.34,1517.5,600.5,55.5,30.5,22,3.8,1.7,SYNTHETIC
2024-04-28,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.8,1543.6,593.9,47.9,26.4,20,2.6,2.0,SYNTHETIC
2024-04-29,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.79,1543.5,607.3,56.7,31.2,21,3.8,1.9,SYNTHETIC
2024-04-30,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.58,1564.2,617.1,43.1,23.7,30,4.7,1.3,SYNTHETIC
2024-05-01,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.19,1542.1,612.8,47.2,25.9,23,4.6,1.7,SYNTHETIC
2024-05-02,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.61,1562.4,616.3,58.0,31.9,25,5.0,2.1,SYNTHETIC
2024-05-03,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.68,1515.4,614.7,57.6,31.7,25,4.3,2.2,SYNTHETIC
2024-05-04,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.78,1567.2,610.5,55.7,30.7,28,4.9,2.4,SYNTHETIC
2024-05-05,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.81,1586.0,616.1,53.8,29.6,24,3.2,2.4,SYNTHETIC
2024-05-06,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.28,1584.9,610.0,53.1,29.2,24,3.6,2.0,SYNTHETIC
2024-05-07,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.78,1520.7,610.4,47.6,26.2,23,3.8,1.9,SYNTHETIC
2024-05-08,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.53,1597.6,615.5,51.1,28.1,26,3.7,1.9,SYNTHETIC
2024-05-09,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.49,1559.2,617.5,53.3,29.3,25,4.7,1.4,SYNTHETIC
2024-05-10,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.83,1560.2,607.5,44.3,24.4,23,3.4,1.8,SYNTHETIC
2024-05-11,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.86,1529.8,606.3,55.3,30.4,27,4.6,2.2,SYNTHETIC
2024-05-12,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.51,1542.8,606.3,52.2,28.7,28,4.0,1.9,SYNTHETIC
2024-05-13,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.71,1524.4,610.5,51.0,28.0,20,3.5,1.9,SYNTHETIC
2024-05-14,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.93,1520.6,598.4,52.7,29.0,18,3.7,1.4,SYNTHETIC
2024-05-15,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.81,1578.2,597.8,49.7,27.3,25,4.4,1.9,SYNTHETIC
2024-05-16,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.02,1538.0,604.9,51.5,28.3,25,3.8,1.4,SYNTHETIC
2024-05-17,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.28,1541.0,601.0,43.3,23.8,26,3.4,1.2,SYNTHETIC
2024-05-18,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.71,1561.3,606.5,48.2,26.5,23,3.3,2.0,SYNTHETIC
2024-05-19,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.87,1541.6,605.7,46.8,25.7,24,4.5,1.5,SYNTHETIC
2024-05-20,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.69,1539.8,604.8,42.3,23.2,21,5.0,2.6,SYNTHETIC
2024-05-21,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.62,1559.3,617.3,54.7,30.1,25,2.7,2.0,SYNTHETIC
2024-05-22,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.37,1571.1,608.2,49.1,27.0,25,4.4,3.0,SYNTHETIC
2024-05-23,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.41,1536.8,608.6,43.0,23.7,29,3.8,2.5,SYNTHETIC
2024-05-24,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.89,1544.3,610.8,56.2,30.9,25,4.1,1.4,SYNTHETIC
2024-05-25,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.52,1566.7,603.9,56.5,31.1,24,2.1,1.2,SYNTHETIC
2024-05-26,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.64,1553.0,612.0,41.9,23.1,32,3.7,1.0,SYNTHETIC
2024-05-27,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.04,1538.6,603.5,39.5,21.7,18,3.3,2.8,SYNTHETIC
2024-05-28,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.24,1536.7,608.4,47.0,25.9,19,4.6,1.9,SYNTHETIC
2024-05-29,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.03,1513.6,600.4,45.6,25.1,23,4.3,2.3,SYNTHETIC
2024-05-30,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.77,1558.3,598.6,43.1,23.7,19,2.7,2.6,SYNTHETIC
2024-05-31,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.8,1520.6,611.2,42.6,23.4,26,3.4,2.8,SYNTHETIC
2024-06-01,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.11,1534.0,607.4,40.6,22.3,28,3.4,1.3,SYNTHETIC
2024-06-02,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.78,1520.7,601.5,36.7,20.2,27,2.6,2.4,SYNTHETIC
2024-06-03,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.67,1534.2,602.2,47.1,25.9,21,4.2,2.5,SYNTHETIC
2024-06-04,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.6,1531.1,610.5,47.5,26.1,21,2.9,2.3,SYNTHETIC
2024-06-05,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.6,1552.8,603.1,57.8,31.8,22,4.1,2.5,SYNTHETIC
2024-06-06,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.9,1559.4,618.2,44.9,24.7,22,2.8,1.6,SYNTHETIC
2024-06-07,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.45,1562.2,602.6,45.5,25.0,26,4.0,1.2,SYNTHETIC
2024-06-08,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.98,1551.9,611.6,42.6,23.4,26,3.9,1.2,SYNTHETIC
2024-06-09,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.8,1528.8,604.4,45.7,25.2,23,4.0,1.1,SYNTHETIC
2024-06-10,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.47,1555.3,610.7,40.3,22.1,20,3.0,2.4,SYNTHETIC
2024-06-11,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.68,1571.5,607.3,43.3,23.8,18,3.7,1.7,SYNTHETIC
2024-06-12,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.69,1524.1,607.2,40.9,22.5,22,2.9,1.7,SYNTHETIC
2024-06-13,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.99,1561.7,610.1,39.6,21.8,20,3.0,1.7,SYNTHETIC
2024-06-14,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.62,1566.7,605.5,38.4,21.1,24,3.0,2.3,SYNTHETIC
2024-06-15,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.32,1560.0,615.8,41.8,23.0,26,3.7,1.0,SYNTHETIC
2024-06-16,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.01,1606.2,613.5,39.3,21.6,29,3.5,3.2,SYNTHETIC
2024-06-17,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.71,1578.6,614.0,37.1,20.4,24,3.5,1.6,SYNTHETIC
2024-06-18,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.6,1571.7,608.1,43.7,24.0,22,3.1,1.9,SYNTHETIC
2024-06-19,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.55,1554.5,597.9,34.5,19.0,21,4.5,1.8,SYNTHETIC
2024-06-20,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.87,1545.4,607.5,37.4,20.6,27,3.3,2.1,SYNTHETIC
2024-06-21,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.17,1525.6,619.9,40.7,22.4,22,2.0,2.1,SYNTHETIC
2024-06-22,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,13.57,1522.1,612.1,48.2,26.5,23,4.4,2.2,SYNTHETIC
2024-06-23,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,13.51,1568.5,608.3,43.0,23.7,19,3.2,2.2,SYNTHETIC
2024-06-24,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,13.82,1539.2,608.4,43.2,23.8,21,3.9,3.0,SYNTHETIC
2024-06-25,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,12.71,1534.4,609.4,47.4,26.1,20,2.4,1.5,SYNTHETIC
2024-06-26,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,13.28,1531.6,614.7,41.2,22.7,20,3.0,2.6,SYNTHETIC
2024-06-27,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,12.75,1548.1,604.9,45.3,24.9,26,2.8,2.3,SYNTHETIC
2024-06-28,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,13.06,1567.4,621.9,33.5,18.4,20,2.8,2.0,SYNTHETIC
2024-06-29,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,13.75,1616.2,620.7,33.9,18.7,25,2.3,1.9,SYNTHETIC
