date,iron_ore_price,coking_coal_price
2024-11-12,109.28,224.17
2024-11-13,111.88,216.24
2024-11-14,106.35,222.18
2024-11-15,110.08,217.36
2024-11-16,108.95,215.58
2024-11-17,113.24,220.12
2024-11-18,110.94,231.68
2024-11-19,111.31,216.66
2024-11-20,108.75,219.12
2024-11-21,111.49,221.4
2024-11-22,110.53,220.66
2024-11-23,112.03,223.52
2024-11-24,115.39,224.02
2024-11-25,114.17,223.62
2024-11-26,114.52,223.72
2024-11-27,115.86,231.43
2024-11-28,120.73,236.07
2024-11-29,117.18,236.31
2024-11-30,115.71,228.99
2024-12-01,117.67,230.37
2024-12-02,118.04,234.48
2024-12-03,118.6,243.08
2024-12-04,115.55,237.2
2024-12-05,115.12,236.41
2024-12-06,117.59,240.12
2024-12-07,120.38,237.91
2024-12-08,119.93,239.5
2024-12-09,120.63,242.32
2024-12-10,122.45,235.46
2024-12-11,123.85,234.24
2024-12-12,120.17,242.65
2024-12-13,120.22,246.16
2024-12-14,119.83,237.13
2024-12-15,121.65,242.62
2024-12-16,120.68,247.78
2024-12-17,122.71,244.99
2024-12-18,122.37,242.86
2024-12-19,122.3,246.58
2024-12-20,126.8,247.29
2024-12-21,123.19,247.23
2024-12-22,128.45,251.92
2024-12-23,124.24,242.68
2024-12-24,125.62,244.36
2024-12-25,124.42,252.59
2024-12-26,127.13,252.31
2024-12-27,128.06,256.49
2024-12-28,128.29,262.26
2024-12-29,130.73,254.01
2024-12-30,129.02,257.95
2024-12-31,127.24,252.43
2025-01-01,127.77,260.18
2025-01-02,130.72,255.34
2025-01-03,132.27,257.96
2025-01-04,130.77,258.6
2025-01-05,131.9,263.77
2025-01-06,129.5,251.21
2025-01-07,130.46,246.3
2025-01-08,124.24,256.64
2025-01-09,130.21,259.92
2025-01-10,130.43,258.16
2025-01-11,123.87,260.51
2025-01-12,123.46,255.42
2025-01-13,121.97,249.24
2025-01-14,122.48,242.81
2025-01-15,122.37,250.41
2025-01-16,123.09,254.38
2025-01-17,124.51,249.03
2025-01-18,125.15,251.23
2025-01-19,122.96,256.18
2025-01-20,121.28,248.13
2025-01-21,127.24,256.8
2025-01-22,126.65,262.46
2025-01-23,124.27,253.73
2025-01-24,126.08,251.59
2025-01-25,125.02,256.14
2025-01-26,126.3,247.87
2025-01-27,126.07,260.91
2025-01-28,128.16,262.78
2025-01-29,125.11,269.23
2025-01-30,126.23,260.95
2025-01-31,125.14,261.87
2025-02-01,125.48,256.55
2025-02-02,125.09,260.1
2025-02-03,124.7,253.71
2025-02-04,121.96,258.36
2025-02-05,127.48,259.65
2025-02-06,124.83,260.38
2025-02-07,120.79,256.2
2025-02-08,122.29,258.63
2025-02-09,123.89,255.69
2025-02-10,120.73,254.06
2025-02-11,120.9,256.74
2025-02-12,120.93,254.76
2025-02-13,120.53,255.83
2025-02-14,116.06,251.7
2025-02-15,121.62,252.82
2025-02-16,118.99,254.24
2025-02-17,120.65,252.23
2025-02-18,121.35,254.99
2025-02-19,118.88,262.63
2025-02-20,118.15,251.64
2025-02-21,120.77,255.91
2025-02-22,124.57,255.07
2025-02-23,119.43,258.04
2025-02-24,125.65,257.12
2025-02-25,122.74,261.9
2025-02-26,123.18,253.84
2025-02-27,120.19,264.24
2025-02-28,121.35,263.53
2025-03-01,121.86,256.1
2025-03-02,121.95,254.17
2025-03-03,122.98,258.27
2025-03-04,122.05,260.64
2025-03-05,128.17,273.89
2025-03-06,120.9,264.95
2025-03-07,124.5,256.98
2025-03-08,126.72,264.54
2025-03-09,123.5,266.77
2025-03-10,127.87,268.95
2025-03-11,124.57,261.43
2025-03-12,120.58,267.27
2025-03-13,127.35,264.85
2025-03-14,123.56,263.66
2025-03-15,122.65,267.66
2025-03-16,124.67,267.09
2025-03-17,123.21,268.76
2025-03-18,123.67,264.28
2025-03-19,124.07,259.76
2025-03-20,120.72,265.88
2025-03-21,123.97,264.53
2025-03-22,121.97,266.14
2025-03-23,129.37,264.55
2025-03-24,122.08,263.84
2025-03-25,125.92,266.33
2025-03-26,125.41,275.74
2025-03-27,122.21,264.18
2025-03-28,119.38,259.61
2025-03-29,120.0,258.03
2025-03-30,113.65,256.49
2025-03-31,118.97,267.41
2025-04-01,118.88,256.64
2025-04-02,116.88,259.61
2025-04-03,110.68,255.54
2025-04-04,114.68,258.56
2025-04-05,115.91,260.92
2025-04-06,117.84,254.98
2025-04-07,118.52,255.83
2025-04-08,118.53,266.65
2025-04-09,120.33,264.07
2025-04-10,115.66,261.81
2025-04-11,119.36,262.0
2025-04-12,119.95,262.12
2025-04-13,118.97,267.22
2025-04-14,119.95,262.77
2025-04-15,123.4,263.45
2025-04-16,120.49,255.42
2025-04-17,115.98,255.98
2025-04-18,118.62,254.44
2025-04-19,117.83,261.45
2025-04-20,114.82,246.04
2025-04-21,117.33,252.86
2025-04-22,115.26,241.73
2025-04-23,109.65,251.0
2025-04-24,116.09,253.32
2025-04-25,112.36,257.47
2025-04-26,116.58,256.8
2025-04-27,117.76,252.31
2025-04-28,115.64,259.14
2025-04-29,118.82,254.85
2025-04-30,115.15,255.5
2025-05-01,115.71,248.67
2025-05-02,115.99,249.32
2025-05-03,112.83,248.16
2025-05-04,114.28,250.86
2025-05-05,110.58,249.9
2025-05-06,109.62,253.66
2025-05-07,107.9,249.34
2025-05-08,111.67,237.47
2025-05-09,112.34,250.03
2025-05-10,114.59,243.7
2025-05-11,114.45,246.64
2025-05-12,111.43,246.19
2025-05-13,110.12,247.73
2025-05-14,112.77,243.4
2025-05-15,113.01,247.71
2025-05-16,110.98,239.26
2025-05-17,112.5,247.47
2025-05-18,110.58,256.33
2025-05-19,110.61,242.87
2025-05-20,111.25,248.83
2025-05-21,112.58,239.48
2025-05-22,112.13,247.68
2025-05-23,112.76,251.32
2025-05-24,112.62,252.44
2025-05-25,112.23,249.17
2025-05-26,110.17,251.3
2025-05-27,114.14,258.11
2025-05-28,113.52,256.59
2025-05-29,112.45,246.7
2025-05-30,111.04,242.62
2025-05-31,109.03,245.53
2025-06-01,111.89,238.7
2025-06-02,110.08,243.92
2025-06-03,105.27,237.24
2025-06-04,110.6,241.64
2025-06-05,109.12,242.31
2025-06-06,107.15,238.05
2025-06-07,108.37,231.41
2025-06-08,106.43,241.42
2025-06-09,102.15,227.97
2025-06-10,107.53,236.24
2025-06-11,108.52,239.12
2025-06-12,105.26,237.06
2025-06-13,106.95,236.14
2025-06-14,102.14,237.88
2025-06-15,107.18,233.86
2025-06-16,103.49,232.98
2025-06-17,102.96,232.18
2025-06-18,103.04,228.36
2025-06-19,102.3,230.76
2025-06-20,101.78,224.95
2025-06-21,99.88,230.85
2025-06-22,100.1,226.88
2025-06-23,100.05,226.54
2025-06-24,103.3,232.82
2025-06-25,105.96,226.92
2025-06-26,103.25,231.65
2025-06-27,106.13,231.24
2025-06-28,106.11,225.74
2025-06-29,102.28,231.04
2025-06-30,103.81,231.9
2025-07-01,109.28,234.57
2025-07-02,105.81,230.7
2025-07-03,98.11,227.31
2025-07-04,102.09,219.74
2025-07-05,101.29,233.92
2025-07-06,104.16,219.89
2025-07-07,102.41,231.7
2025-07-08,101.88,228.89
2025-07-09,102.18,222.13
2025-07-10,104.05,228.62
2025-07-11,107.56,229.28
2025-07-12,104.34,236.39
2025-07-13,105.44,227.89
2025-07-14,101.65,227.59
2025-07-15,106.48,217.03
2025-07-16,105.8,231.13
2025-07-17,103.1,220.93
2025-07-18,104.78,228.75
2025-07-19,108.24,229.58
2025-07-20,111.41,230.77
2025-07-21,110.64,236.57
2025-07-22,107.78,239.11
2025-07-23,104.66,231.52
2025-07-24,106.53,234.07
2025-07-25,109.44,232.98
2025-07-26,107.75,235.38
2025-07-27,109.91,229.67
2025-07-28,108.87,236.51
2025-07-29,109.0,238.31
2025-07-30,109.6,239.3
2025-07-31,116.66,233.66
2025-08-01,116.04,236.71
2025-08-02,117.89,238.12
2025-08-03,114.61,230.42
2025-08-04,113.19,243.15
2025-08-05,116.13,235.05
2025-08-06,113.82,237.05
2025-08-07,113.46,231.95
2025-08-08,113.58,229.78
2025-08-09,106.17,230.87
2025-08-10,116.67,234.69
2025-08-11,113.9,235.79
2025-08-12,111.96,231.09
2025-08-13,111.6,232.37
2025-08-14,111.82,228.98
2025-08-15,111.45,234.07
2025-08-16,113.97,237.58
2025-08-17,109.62,234.08
2025-08-18,112.05,232.97
2025-08-19,112.51,230.13
2025-08-20,110.62,222.38
2025-08-21,112.78,225.4
2025-08-22,111.59,233.97
2025-08-23,111.39,231.49
2025-08-24,115.3,235.03
2025-08-25,114.11,236.44
2025-08-26,107.33,230.66
2025-08-27,111.83,231.4
2025-08-28,108.9,225.63
2025-08-29,108.36,219.81
2025-08-30,106.58,223.75
2025-08-31,107.62,220.54
2025-09-01,112.65,231.37
2025-09-02,112.17,230.5
2025-09-03,111.91,230.25
2025-09-04,113.41,234.33
2025-09-05,114.9,221.38
2025-09-06,113.14,229.13
2025-09-07,113.54,223.72
2025-09-08,115.81,228.3
2025-09-09,115.01,226.1
2025-09-10,113.69,229.68
2025-09-11,112.19,226.7
2025-09-12,113.31,230.71
2025-09-13,113.54,224.28
2025-09-14,115.73,230.22
2025-09-15,115.43,227.94
2025-09-16,111.19,220.57
2025-09-17,112.04,224.85
2025-09-18,113.63,228.93
2025-09-19,119.42,237.09
2025-09-20,114.49,235.45
2025-09-21,120.59,231.49
2025-09-22,119.49,233.89
2025-09-23,122.32,244.04
2025-09-24,120.29,236.51
2025-09-25,116.13,233.41
2025-09-26,117.17,236.88
2025-09-27,118.02,239.92
2025-09-28,119.74,235.43
2025-09-29,119.03,236.9
2025-09-30,117.7,234.76
2025-10-01,122.99,238.08
2025-10-02,117.27,236.46
2025-10-03,123.24,237.77
2025-10-04,123.05,232.96
2025-10-05,123.43,234.2
2025-10-06,119.43,240.42
2025-10-07,123.35,238.79
2025-10-08,118.29,237.89
2025-10-09,122.91,235.16
2025-10-10,120.95,240.27
2025-10-11,120.55,234.72
2025-10-12,118.64,236.39
2025-10-13,115.83,239.98
2025-10-14,119.84,242.78
2025-10-15,124.37,235.64
2025-10-16,122.34,247.58
2025-10-17,123.65,242.2
2025-10-18,126.79,238.78
2025-10-19,128.48,243.12
2025-10-20,127.44,240.12
2025-10-21,122.21,243.11
2025-10-22,119.64,240.52
2025-10-23,129.43,241.5
2025-10-24,129.29,237.64
2025-10-25,125.62,246.65
2025-10-26,121.49,236.67
2025-10-27,129.06,240.92
2025-10-28,125.65,245.24
2025-10-29,125.92,250.66
2025-10-30,128.72,243.77
2025-10-31,127.37,247.83
2025-11-01,125.53,251.66
2025-11-02,126.86,249.77
2025-11-03,130.98,248.3
2025-11-04,130.7,245.33
2025-11-05,129.58,240.03
2025-11-06,130.4,246.88
2025-11-07,129.1,255.08
2025-11-08,129.98,245.45
2025-11-09,121.42,251.69
2025-11-10,128.21,245.7
2025-11-11,129.61,248.06
2025-11-12,129.19,253.81
2025-11-13,128.57,247.73
2025-11-14,128.48,252.94
2025-11-15,133.29,251.18
2025-11-16,131.02,253.83
2025-11-17,131.82,252.34
2025-11-18,127.46,253.65
2025-11-19,130.84,259.68
2025-11-20,132.12,258.56
2025-11-21,132.89,254.47
2025-11-22,133.1,258.47
2025-11-23,133.08,257.7
2025-11-24,134.93,257.25
2025-11-25,128.36,266.4
2025-11-26,136.99,258.71
2025-11-27,135.11,250.69
2025-11-28,132.12,253.98
2025-11-29,134.44,248.93
2025-11-30,129.26,255.52
2025-12-01,130.88,248.86
2025-12-02,133.34,255.43
2025-12-03,137.03,253.64
2025-12-04,135.18,263.37
2025-12-05,135.82,261.31
2025-12-06,133.92,263.32
2025-12-07,137.73,264.08
2025-12-08,141.66,261.12
2025-12-09,138.63,266.59
2025-12-10,136.01,272.02
2025-12-11,137.92,266.49
2025-12-12,138.5,264.55
2025-12-13,139.49,262.49
2025-12-14,140.08,263.61
2025-12-15,140.47,269.86
2025-12-16,135.56,269.16
2025-12-17,138.53,268.09
2025-12-18,134.97,268.47
2025-12-19,134.25,269.01
2025-12-20,135.89,268.71
2025-12-21,137.31,265.8
2025-12-22,130.99,264.98
2025-12-23,136.41,260.93
2025-12-24,128.57,264.81
2025-12-25,140.64,266.29
2025-12-26,139.26,273.9
2025-12-27,134.71,261.12
2025-12-28,136.07,269.7
2025-12-29,137.16,274.61
2025-12-30,136.62,274.12
2025-12-31,137.63,273.55
2026-01-01,136.16,271.69
2026-01-02,137.33,276.39
2026-01-03,138.65,268.17
2026-01-04,133.97,265.06
2026-01-05,136.53,270.17
2026-01-06,136.86,261.9
2026-01-07,137.54,276.87
2026-01-08,136.41,276.48
2026-01-09,136.59,265.81
2026-01-10,134.17,267.61
2026-01-11,134.91,268.2
2026-01-12,135.76,266.61
2026-01-13,130.21,263.28
2026-01-14,131.81,266.72
2026-01-15,130.76,263.5
2026-01-16,133.69,268.21
2026-01-17,131.92,268.81
2026-01-18,136.25,266.29
2026-01-19,134.9,276.91
2026-01-20,131.87,264.3
2026-01-21,134.83,268.98
2026-01-22,130.96,270.84
2026-01-23,133.12,264.52
2026-01-24,126.23,269.61
2026-01-25,133.02,271.98
2026-01-26,132.3,267.07
2026-01-27,132.01,272.06
2026-01-28,133.68,272.82
2026-01-29,135.93,275.0
2026-01-30,136.54,285.83
2026-01-31,132.98,272.79
2026-02-01,136.99,280.59
2026-02-02,138.62,274.19
2026-02-03,137.48,273.58
2026-02-04,138.56,278.44
2026-02-05,139.24,280.93
2026-02-06,138.78,281.08
2026-02-07,140.78,284.82
2026-02-08,135.46,290.42
2026-02-09,134.57,279.24
2026-02-10,139.33,278.06
2026-02-11,137.41,280.09
2026-02-12,137.98,278.08
2026-02-13,141.26,284.35
2026-02-14,134.95,272.35
2026-02-15,136.15,287.69
2026-02-16,132.48,280.96
2026-02-17,140.58,272.93
2026-02-18,134.45,275.98
2026-02-19,135.13,283.25
2026-02-20,136.11,286.54
2026-02-21,136.17,278.07
2026-02-22,136.44,286.92
2026-02-23,136.27,275.54
2026-02-24,133.49,281.76
2026-02-25,136.41,289.28
2026-02-26,141.56,281.52
2026-02-27,138.16,276.75
2026-02-28,138.92,284.1
2026-03-01,138.55,279.88
2026-03-02,138.7,283.02
2026-03-03,129.3,274.91
2026-03-04,129.57,274.15
2026-03-05,130.3,269.02
2026-03-06,130.86,277.71
2026-03-07,132.37,278.32
2026-03-08,132.74,275.44
2026-03-09,133.43,279.97
2026-03-10,133.18,283.7
2026-03-11,132.7,280.69
2026-03-12,130.66,284.58
2026-03-13,133.04,284.43
2026-03-14,134.25,279.01
2026-03-15,133.4,289.9
2026-03-16,129.95,277.62
2026-03-17,132.0,283.27
2026-03-18,131.48,285.22
2026-03-19,134.24,282.57
2026-03-20,131.73,285.06
2026-03-21,133.17,285.22
2026-03-22,131.4,277.52
2026-03-23,134.4,282.72
2026-03-24,132.61,281.38
2026-03-25,135.55,280.63
2026-03-26,134.4,277.33
2026-03-27,133.95,288.07
2026-03-28,132.34,290.07
2026-03-29,134.41,286.9
2026-03-30,134.8,287.72
2026-03-31,135.73,284.66
2026-04-01,139.28,284.12
2026-04-02,137.24,284.37
2026-04-03,137.68,289.3
2026-04-04,137.12,289.47
2026-04-05,138.59,288.75
2026-04-06,134.85,293.56
2026-04-07,134.69,288.69
2026-04-08,135.99,283.05
2026-04-09,132.72,278.73
2026-04-10,133.05,284.2
2026-04-11,133.59,284.51
2026-04-12,129.4,284.7
2026-04-13,129.96,289.48
2026-04-14,131.08,286.13
2026-04-15,128.1,280.07
2026-04-16,136.21,273.56
2026-04-17,130.31,272.31
2026-04-18,128.88,275.85
2026-04-19,129.24,282.45
2026-04-20,128.35,285.27
2026-04-21,129.0,278.93
2026-04-22,127.92,280.0
2026-04-23,127.33,275.37
2026-04-24,128.19,279.54
2026-04-25,131.92,280.6
2026-04-26,131.94,269.27
2026-04-27,129.57,275.72
2026-04-28,127.58,283.48
2026-04-29,130.58,279.04
2026-04-30,132.57,272.76
2026-05-01,131.37,266.56
2026-05-02,128.69,272.81
2026-05-03,129.94,273.57
2026-05-04,127.7,271.47
2026-05-05,128.14,274.28
2026-05-06,124.18,274.05
2026-05-07,125.7,273.69
2026-05-08,127.35,260.57
2026-05-09,123.28,264.91
2026-05-10,121.05,266.36
2026-05-11,124.35,271.63
2026-05-12,123.17,270.5
2026-05-13,125.64,271.19
2026-05-14,121.67,265.33
2026-05-15,126.94,266.23
2026-05-16,121.05,265.65
2026-05-17,127.32,272.56
2026-05-18,121.57,263.7
2026-05-19,119.46,270.94
2026-05-20,122.77,266.46
2026-05-21,121.07,264.41
2026-05-22,120.14,263.32
2026-05-23,119.13,260.8
2026-05-24,122.17,262.55
2026-05-25,123.39,262.24
2026-05-26,122.97,254.65
2026-05-27,121.8,263.18
2026-05-28,120.37,263.91
2026-05-29,119.73,263.08
2026-05-30,116.58,258.58
2026-05-31,117.37,261.82
2026-06-01,119.33,258.14
2026-06-02,115.89,255.39
2026-06-03,118.43,261.29
2026-06-04,118.28,258.94
2026-06-05,116.54,254.83
2026-06-06,113.67,249.2
2026-06-07,113.95,258.16
2026-06-08,117.91,248.26
2026-06-09,118.94,255.02
2026-06-10,112.08,257.49
2026-06-11,113.21,254.44
2026-06-12,113.07,253.3
2026-06-13,114.77,251.48
2026-06-14,112.4,248.82
2026-06-15,114.32,251.92
2026-06-16,114.33,246.36
2026-06-17,114.49,246.68
2026-06-18,111.69,247.69
2026-06-19,113.09,249.81
2026-06-20,110.32,238.85
2026-06-21,111.97,245.36
2026-06-22,113.15,247.61
2026-06-23,111.05,245.3
2026-06-24,115.87,254.57
2026-06-25,110.83,240.6
2026-06-26,114.37,240.87
2026-06-27,109.64,240.59
2026-06-28,105.54,240.02
2026-06-29,110.13,237.65
2026-06-30,110.59,234.36
2026-07-01,111.98,240.43
2026-07-02,110.98,242.72
2026-07-03,113.27,249.27
2026-07-04,110.75,250.68
2026-07-05,112.11,248.36
2026-07-06,114.68,239.75
2026-07-07,113.27,239.92
2026-07-08,114.25,241.9
2026-07-09,113.45,251.08
2026-07-10,111.81,240.93
2026-07-11,110.98,237.51
2026-07-12,112.69,240.55
2026-07-13,106.18,245.33
2026-07-14,112.2,244.85
2026-07-15,113.65,241.53
2026-07-16,115.22,245.05
2026-07-17,113.72,233.48
2026-07-18,115.34,243.17
